num_elems = 134217728; Array is used; 
   Precision;   [GOPs/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its
      double;  139.02418; 1112.19346;    0.96543;    134217728;   1073741824;         1;         8;        0
      double;  423.99828; 1130.66207;    0.94966;    402653184;   1073741824;         1;         8;        1
      double;  704.53667; 1127.25868;    0.95252;    671088640;   1073741824;         1;         8;        2
      double;  980.23933; 1120.27352;    0.95846;    939524096;   1073741824;         1;         8;        3
      double; 1259.23141; 1119.31681;    0.95928;   1207959552;   1073741824;         1;         8;        4
      double; 1550.98107; 1127.98623;    0.95191;   1476395008;   1073741824;         1;         8;        5
      double; 1837.72216; 1130.90595;    0.94945;   1744830464;   1073741824;         1;         8;        6
      double; 2143.10006; 1142.98670;    0.93942;   2013265920;   1073741824;         1;         8;        7
      double; 2407.84960; 1133.10569;    0.94761;   2281701376;   1073741824;         1;         8;        8
      double; 2700.46410; 1137.03752;    0.94433;   2550136832;   1073741824;         1;         8;        9
      double; 3036.08210; 1156.60271;    0.92836;   2818572288;   1073741824;         1;         8;       10
      double; 3203.67271; 1114.32094;    0.96358;   3087007744;   1073741824;         1;         8;       11
      double; 3471.18646; 1110.77967;    0.96666;   3355443200;   1073741824;         1;         8;       12
      double; 3733.06333; 1106.09284;    0.97075;   3623878656;   1073741824;         1;         8;       13
      double; 5001.43157; 1379.70526;    0.77824;   3892314112;   1073741824;         1;         8;       14
      double; 5063.84847; 1306.79960;    0.82166;   4160749568;   1073741824;         1;         8;       15
      double; 5093.47147; 1234.78096;    0.86958;   4429185024;   1073741824;         1;         8;       16
      double; 5157.82825;  842.09441;    1.27508;   6576668672;   1073741824;         1;         8;       24
      double; 5189.23119;  638.67461;    1.68120;   8724152320;   1073741824;         1;         8;       32
      double; 5208.41464;  514.41132;    2.08732;  10871635968;   1073741824;         1;         8;       40
      double; 5214.92384;  430.09681;    2.49651;  13019119616;   1073741824;         1;         8;       48
      double; 5215.92343;  369.26892;    2.90775;  15166603264;   1073741824;         1;         8;       56
      double; 5224.41237;  323.99457;    3.31407;  17314086912;   1073741824;         1;         8;       64
      double; 5257.11718;  163.64567;    6.56138;  34493956096;   1073741824;         1;         8;      128
      double; 9667.92862;  200.89202;    5.34487;  51673825280;   1073741824;         1;         8;      192
      double; 9684.28625;  151.02201;    7.10984;  68853694464;   1073741824;         1;         8;      256
      double; 9701.25502;   75.71711;   14.18097; 137573171200;   1073741824;         1;         8;      512
      double;  186.60592; 1492.84739;    0.71926;    134217728;   1073741824;         4;         8;        0
      double;  560.45611; 1494.54963;    0.71844;    402653184;   1073741824;         4;         8;        1
      double;  934.09352; 1494.54963;    0.71844;    671088640;   1073741824;         4;         8;        2
      double; 1307.73092; 1494.54963;    0.71844;    939524096;   1073741824;         4;         8;        3
      double; 1680.41028; 1493.69803;    0.71885;   1207959552;   1073741824;         4;         8;        4
      double; 2050.91324; 1491.57326;    0.71987;   1476395008;   1073741824;         4;         8;        5
      double; 2424.49631; 1491.99773;    0.71967;   1744830464;   1073741824;         4;         8;        6
      double; 2799.88611; 1493.27259;    0.71905;   2013265920;   1073741824;         4;         8;        7
      double; 3169.59318; 1491.57326;    0.71987;   2281701376;   1073741824;         4;         8;        8
      double; 3538.45977; 1489.87780;    0.72069;   2550136832;   1073741824;         4;         8;        9
      double; 3910.92922; 1489.87780;    0.72069;   2818572288;   1073741824;         4;         8;       10
      double; 4282.18178; 1489.45453;    0.72090;   3087007744;   1073741824;         4;         8;       11
      double; 4650.58182; 1488.18618;    0.72151;   3355443200;   1073741824;         4;         8;       12
      double; 5021.20310; 1487.76388;    0.72172;   3623878656;   1073741824;         4;         8;       13
      double; 5396.20664; 1488.60873;    0.72131;   3892314112;   1073741824;         4;         8;       14
      double; 5761.81497; 1486.91999;    0.72212;   4160749568;   1073741824;         4;         8;       15
      double; 6126.59472; 1485.23508;    0.72294;   4429185024;   1073741824;         4;         8;       16
      double; 9028.01232; 1473.96120;    0.72847;   6576668672;   1073741824;         4;         8;       24
      double; 9362.28569; 1152.28132;    0.93184;   8724152320;   1073741824;         4;         8;       32
      double; 9433.83013;  931.73631;    1.15241;  10871635968;   1073741824;         4;         8;       40
      double; 9492.29837;  782.86997;    1.37155;  13019119616;   1073741824;         4;         8;       48
      double; 9494.31792;  672.16410;    1.59744;  15166603264;   1073741824;         4;         8;       56
      double; 9523.64980;  590.61394;    1.81801;  17314086912;   1073741824;         4;         8;       64
      double; 9617.83479;  299.38785;    3.58646;  34493956096;   1073741824;         4;         8;      128
      double; 9655.34971;  200.63064;    5.35183;  51673825280;   1073741824;         4;         8;      192
      double; 9660.63267;  150.65314;    7.12724;  68853694464;   1073741824;         4;         8;      256
      double; 9680.42421;   75.55453;   14.21148; 137573171200;   1073741824;         4;         8;      512
 Ac<3, d, d>;  186.34063; 1490.72507;    0.72028;    134217728;   1073741824;         1;         8;        0
 Ac<3, d, d>;  430.68565; 1148.49505;    0.93491;    402653184;   1073741824;         1;         8;        1
 Ac<3, d, d>;  714.21098; 1142.73757;    0.93962;    671088640;   1073741824;         1;         8;        2
 Ac<3, d, d>;  993.39975; 1135.31400;    0.94577;    939524096;   1073741824;         1;         8;        3
 Ac<3, d, d>; 1267.34854; 1126.53203;    0.95314;   1207959552;   1073741824;         1;         8;        4
 Ac<3, d, d>; 1541.69372; 1121.23180;    0.95764;   1476395008;   1073741824;         1;         8;        5
 Ac<3, d, d>; 1810.38673; 1114.08414;    0.96379;   1744830464;   1073741824;         1;         8;        6
 Ac<3, d, d>; 2071.30213; 1104.69447;    0.97198;   2013265920;   1073741824;         1;         8;        7
 Ac<3, d, d>; 2340.57147; 1101.44540;    0.97485;   2281701376;   1073741824;         1;         8;        8
 Ac<3, d, d>; 2980.33502; 1254.87790;    0.85565;   2550136832;   1073741824;         1;         8;        9
 Ac<3, d, d>; 3270.57032; 1245.93155;    0.86180;   2818572288;   1073741824;         1;         8;       10
 Ac<3, d, d>; 3550.83155; 1235.07184;    0.86938;   3087007744;   1073741824;         1;         8;       11
 Ac<3, d, d>; 3846.00932; 1230.72298;    0.87245;   3355443200;   1073741824;         1;         8;       12
 Ac<3, d, d>; 4128.49273; 1223.25710;    0.87777;   3623878656;   1073741824;         1;         8;       13
 Ac<3, d, d>; 4393.30554; 1211.94636;    0.88596;   3892314112;   1073741824;         1;         8;       14
 Ac<3, d, d>; 4661.80816; 1203.04727;    0.89252;   4160749568;   1073741824;         1;         8;       15
 Ac<3, d, d>; 5294.21792; 1283.44677;    0.83661;   4429185024;   1073741824;         1;         8;       16
 Ac<3, d, d>; 7363.59546; 1202.21967;    0.89313;   6576668672;   1073741824;         1;         8;       24
 Ac<3, d, d>; 8713.11111; 1072.38291;    1.00127;   8724152320;   1073741824;         1;         8;       32
 Ac<3, d, d>; 9157.17800;  904.41264;    1.18723;  10871635968;   1073741824;         1;         8;       40
 Ac<3, d, d>; 9262.70177;  763.93417;    1.40554;  13019119616;   1073741824;         1;         8;       48
 Ac<3, d, d>; 9337.49607;  661.06167;    1.62427;  15166603264;   1073741824;         1;         8;       56
 Ac<3, d, d>; 9388.27775;  582.21877;    1.84422;  17314086912;   1073741824;         1;         8;       64
 Ac<3, d, d>; 9553.46095;  297.38400;    3.61062;  34493956096;   1073741824;         1;         8;      128
 Ac<3, d, d>; 9610.48233;  199.69833;    5.37682;  51673825280;   1073741824;         1;         8;      192
 Ac<3, d, d>; 9629.36588;  150.16555;    7.15039;  68853694464;   1073741824;         1;         8;      256
 Ac<3, d, d>; 9671.92201;   75.48817;   14.22397; 137573171200;   1073741824;         1;         8;      512
 Ac<3, d, d>;  180.19246; 1441.53971;    0.74486;    134217728;   1073741824;         4;         8;        0
 Ac<3, d, d>;  361.67770;  964.47387;    1.11329;    402653184;   1073741824;         4;         8;        1
 Ac<3, d, d>;  597.73807;  956.38091;    1.12271;    671088640;   1073741824;         4;         8;        2
 Ac<3, d, d>;  823.31659;  940.93325;    1.14115;    939524096;   1073741824;         4;         8;        3
 Ac<3, d, d>; 1043.56689;  927.61501;    1.15753;   1207959552;   1073741824;         4;         8;        4
 Ac<3, d, d>; 1264.50801;  919.64219;    1.16756;   1476395008;   1073741824;         4;         8;        5
 Ac<3, d, d>; 1484.26480;  913.39372;    1.17555;   1744830464;   1073741824;         4;         8;        6
