num_elems = 134217728; Array is used; 
   Precision;   [GOPs/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its
      double;   54.56161;  436.49291;    2.45993;    134217728;   1073741824;         1;         8;        0
      double;  160.30903;  427.49074;    2.51173;    402653184;   1073741824;         1;         8;        1
      double;  164.08741;  262.53985;    4.08982;    671088640;   1073741824;         1;         8;        2
      double;  169.06868;  193.22134;    5.55706;    939524096;   1073741824;         1;         8;        3
      double;  169.76406;  150.90139;    7.11552;   1207959552;   1073741824;         1;         8;        4
      double;  219.25832;  159.46060;    6.73359;   1476395008;   1073741824;         1;         8;        5
      double;  219.87548;  135.30799;    7.93554;   1744830464;   1073741824;         1;         8;        6
      double;  220.95178;  117.84095;    9.11179;   2013265920;   1073741824;         1;         8;        7
      double;  221.51408;  104.24192;   10.30048;   2281701376;   1073741824;         1;         8;        8
      double;  221.76275;   93.37379;   11.49939;   2550136832;   1073741824;         1;         8;        9
      double;  221.14991;   84.24759;   12.74508;   2818572288;   1073741824;         1;         8;       10
      double;  222.06051;   77.23844;   13.90165;   3087007744;   1073741824;         1;         8;       11
      double;  222.14482;   71.08634;   15.10476;   3355443200;   1073741824;         1;         8;       12
      double;  222.26913;   65.85752;   16.30401;   3623878656;   1073741824;         1;         8;       13
      double;  222.33647;   61.33420;   17.50641;   3892314112;   1073741824;         1;         8;       14
      double;  222.39099;   57.39122;   18.70916;   4160749568;   1073741824;         1;         8;       15
      double;  220.50202;   53.45504;   20.08682;   4429185024;   1073741824;         1;         8;       16
      double;  222.80732;   36.37670;   29.51729;   6576668672;   1073741824;         1;         8;       24
      double;  223.03167;   27.45005;   39.11620;   8724152320;   1073741824;         1;         8;       32
      double;  222.36258;   21.96174;   48.89148;  10871635968;   1073741824;         1;         8;       40
      double;  223.25629;   18.41289;   58.31468;  13019119616;   1073741824;         1;         8;       48
      double;  222.83221;   15.77573;   68.06289;  15166603264;   1073741824;         1;         8;       56
      double;  222.69131;   13.81031;   77.74927;  17314086912;   1073741824;         1;         8;       64
      double;  223.41328;    6.95450;  154.39528;  34493956096;   1073741824;         1;         8;      128
      double;  223.20120;    4.63795;  231.51231;  51673825280;   1073741824;         1;         8;      192
      double;  223.15265;    3.47996;  308.54974;  68853694464;   1073741824;         1;         8;      256
      double;  223.29425;    1.74278;  616.10710; 137573171200;   1073741824;         1;         8;      512
      double;   54.55863;  436.46906;    2.46006;    134217728;   1073741824;         4;         8;        0
      double;  163.48365;  435.95641;    2.46296;    402653184;   1073741824;         4;         8;        1
      double;  216.65554;  346.64887;    3.09749;    671088640;   1073741824;         4;         8;        2
      double;  218.37989;  249.57702;    4.30225;    939524096;   1073741824;         4;         8;        3
      double;  219.44949;  195.06621;    5.50450;   1207959552;   1073741824;         4;         8;        4
      double;  219.74266;  159.81284;    6.71875;   1476395008;   1073741824;         4;         8;        5
      double;  219.72609;  135.21606;    7.94093;   1744830464;   1073741824;         4;         8;        6
      double;  220.09133;  117.38204;    9.14741;   2013265920;   1073741824;         4;         8;        7
      double;  221.19825;  104.09329;   10.31519;   2281701376;   1073741824;         4;         8;        8
      double;  221.41500;   93.22737;   11.51745;   2550136832;   1073741824;         4;         8;        9
      double;  221.57606;   84.40993;   12.72056;   2818572288;   1073741824;         4;         8;       10
      double;  221.71509;   77.11829;   13.92331;   3087007744;   1073741824;         4;         8;       11
      double;  221.82573;   70.98423;   15.12648;   3355443200;   1073741824;         4;         8;       12
      double;  221.97574;   65.77059;   16.32556;   3623878656;   1073741824;         4;         8;       13
      double;  222.03436;   61.25086;   17.53023;   3892314112;   1073741824;         4;         8;       14
      double;  222.11889;   57.32100;   18.73208;   4160749568;   1073741824;         4;         8;       15
      double;  222.22584;   53.87293;   19.93101;   4429185024;   1073741824;         4;         8;       16
      double;  222.55455;   36.33544;   29.55082;   6576668672;   1073741824;         4;         8;       24
      double;  222.74452;   27.41471;   39.16663;   8724152320;   1073741824;         4;         8;       32
      double;  222.88269;   22.01311;   48.77739;  10871635968;   1073741824;         4;         8;       40
      double;  222.94843;   18.38750;   58.39521;  13019119616;   1073741824;         4;         8;       48
      double;  222.99893;   15.78753;   68.01200;  15166603264;   1073741824;         4;         8;       56
      double;  223.03307;   13.83151;   77.63013;  17314086912;   1073741824;         4;         8;       64
      double;  223.15855;    6.94657;  154.57152;  34493956096;   1073741824;         4;         8;      128
      double;  223.20462;    4.63802;  231.50876;  51673825280;   1073741824;         4;         8;      192
      double;  223.19808;    3.48067;  308.48694;  68853694464;   1073741824;         4;         8;      256
      double;  223.26058;    1.74252;  616.20000; 137573171200;   1073741824;         4;         8;      512
 Ac<3, d, d>;   54.55012;  436.40094;    2.46045;    134217728;   1073741824;         1;         8;        0
 Ac<3, d, d>;  163.55251;  436.14002;    2.46192;    402653184;   1073741824;         1;         8;        1
 Ac<3, d, d>;  216.84283;  346.94852;    3.09482;    671088640;   1073741824;         1;         8;        2
 Ac<3, d, d>;  218.76455;  250.01663;    4.29468;    939524096;   1073741824;         1;         8;        3
 Ac<3, d, d>;  219.87284;  195.44253;    5.49390;   1207959552;   1073741824;         1;         8;        4
 Ac<3, d, d>;  220.55339;  160.40247;    6.69405;   1476395008;   1073741824;         1;         8;        5
 Ac<3, d, d>;  220.93907;  135.96251;    7.89734;   1744830464;   1073741824;         1;         8;        6
 Ac<3, d, d>;  221.28828;  118.02041;    9.09793;   2013265920;   1073741824;         1;         8;        7
 Ac<3, d, d>;  221.54285;  104.25546;   10.29914;   2281701376;   1073741824;         1;         8;        8
 Ac<3, d, d>;  221.76572;   93.37504;   11.49924;   2550136832;   1073741824;         1;         8;        9
 Ac<3, d, d>;  221.93751;   84.54762;   12.69985;   2818572288;   1073741824;         1;         8;       10
 Ac<3, d, d>;  222.02923;   77.22756;   13.90361;   3087007744;   1073741824;         1;         8;       11
 Ac<3, d, d>;  222.17796;   71.09695;   15.10250;   3355443200;   1073741824;         1;         8;       12
 Ac<3, d, d>;  222.28483;   65.86217;   16.30286;   3623878656;   1073741824;         1;         8;       13
 Ac<3, d, d>;  222.38696;   61.34813;   17.50244;   3892314112;   1073741824;         1;         8;       14
 Ac<3, d, d>;  222.45498;   57.40774;   18.70378;   4160749568;   1073741824;         1;         8;       15
 Ac<3, d, d>;  222.54921;   53.95132;   19.90205;   4429185024;   1073741824;         1;         8;       16
 Ac<3, d, d>;  222.86539;   36.38619;   29.50960;   6576668672;   1073741824;         1;         8;       24
 Ac<3, d, d>;  223.05192;   27.45254;   39.11265;   8724152320;   1073741824;         1;         8;       32
 Ac<3, d, d>;  223.19789;   22.04424;   48.70851;  10871635968;   1073741824;         1;         8;       40
 Ac<3, d, d>;  223.26779;   18.41384;   58.31168;  13019119616;   1073741824;         1;         8;       48
 Ac<3, d, d>;  223.14487;   15.79787;   67.96752;  15166603264;   1073741824;         1;         8;       56
 Ac<3, d, d>;  223.33515;   13.85024;   77.52513;  17314086912;   1073741824;         1;         8;       64
 Ac<3, d, d>;  223.49494;    6.95704;  154.33887;  34493956096;   1073741824;         1;         8;      128
 Ac<3, d, d>;  223.56062;    4.64542;  231.14011;  51673825280;   1073741824;         1;         8;      192
 Ac<3, d, d>;  223.58362;    3.48668;  307.95500;  68853694464;   1073741824;         1;         8;      256
 Ac<3, d, d>;  223.60478;    1.74521;  615.25146; 137573171200;   1073741824;         1;         8;      512
 Ac<3, d, d>;   54.52331;  436.18650;    2.46166;    134217728;   1073741824;         4;         8;        0
 Ac<3, d, d>;  163.46709;  435.91224;    2.46321;    402653184;   1073741824;         4;         8;        1
 Ac<3, d, d>;  216.59468;  346.55148;    3.09836;    671088640;   1073741824;         4;         8;        2
 Ac<3, d, d>;  218.41530;  249.61749;    4.30155;    939524096;   1073741824;         4;         8;        3
 Ac<3, d, d>;  219.45663;  195.07256;    5.50432;   1207959552;   1073741824;         4;         8;        4
 Ac<3, d, d>;  220.12659;  160.09206;    6.70703;   1476395008;   1073741824;         4;         8;        5
 Ac<3, d, d>;  220.66475;  135.79369;    7.90716;   1744830464;   1073741824;         4;         8;        6
 Ac<3, d, d>;  220.84924;  117.78626;    9.11602;   2013265920;   1073741824;         4;         8;        7
 Ac<3, d, d>;  221.14803;  104.06966;   10.31753;   2281701376;   1073741824;         4;         8;        8
 Ac<3, d, d>;  221.37699;   93.21136;   11.51943;   2550136832;   1073741824;         4;         8;        9
 Ac<3, d, d>;  221.52691;   84.39120;   12.72339;   2818572288;   1073741824;         4;         8;       10
 Ac<3, d, d>;  221.68116;   77.10649;   13.92544;   3087007744;   1073741824;         4;         8;       11
