   Precision;   [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its
      double;  141.63821; 1133.10568;    0.94761;    134217728;   1073741824;         1;         8;        0
      double;  420.73187; 1121.95165;    0.95703;    402653184;   1073741824;         1;         8;        1
      double;  706.81621; 1130.90593;    0.94945;    671088640;   1073741824;         1;         8;        2
      double;  984.44636; 1125.08155;    0.95437;    939524096;   1073741824;         1;         8;        3
      double; 1263.27694; 1122.91283;    0.95621;   1207959552;   1073741824;         1;         8;        4
      double; 1541.69378; 1121.23184;    0.95764;   1476395008;   1073741824;         1;         8;        5
      double; 1816.17564; 1117.64655;    0.96072;   1744830464;   1073741824;         1;         8;        6
      double; 2098.71905; 1119.31683;    0.95928;   2013265920;   1073741824;         1;         8;        7
      double; 2393.88054; 1126.53202;    0.95314;   2281701376;   1073741824;         1;         8;        8
      double; 2763.39105; 1163.53308;    0.92283;   2550136832;   1073741824;         1;         8;        9
      double; 2936.32597; 1118.60037;    0.95990;   2818572288;   1073741824;         1;         8;       10
      double; 3184.04731; 1107.49472;    0.96952;   3087007744;   1073741824;         1;         8;       11
      double; 3449.98946; 1103.99663;    0.97260;   3355443200;   1073741824;         1;         8;       12
      double; 4662.64028; 1381.52305;    0.77722;   3623878656;   1073741824;         1;         8;       13
      double; 4855.75874; 1339.51965;    0.80159;   3892314112;   1073741824;         1;         8;       14
      double; 4897.82066; 1263.95372;    0.84951;   4160749568;   1073741824;         1;         8;       15
      double; 4921.91171; 1193.19072;    0.89989;   4429185024;   1073741824;         1;         8;       16
      double; 5034.90729;  822.02568;    1.30621;   6576668672;   1073741824;         1;         8;       24
      double; 5098.55166;  627.51405;    1.71110;   8724152320;   1073741824;         1;         8;       32
      double; 5132.37572;  506.90131;    2.11825;  10871635968;   1073741824;         1;         8;       40
      double; 5154.45731;  425.10988;    2.52580;  13019119616;   1073741824;         1;         8;       48
      double; 5167.51668;  365.84189;    2.93499;  15166603264;   1073741824;         1;         8;       56
      double; 5182.14060;  321.37306;    3.34111;  17314086912;   1073741824;         1;         8;       64
      double; 5721.62658;  178.10511;    6.02870;  34493956096;   1073741824;         1;         8;      128
      double; 9652.76374;  200.57691;    5.35327;  51673825280;   1073741824;         1;         8;      192
      double; 9656.74798;  150.59256;    7.13011;  68853694464;   1073741824;         1;         8;      256
      double; 9709.80876;   75.78387;   14.16847; 137573171200;   1073741824;         1;         8;      512
      double;  186.81870; 1494.54963;    0.71844;    134217728;   1073741824;         4;         8;        0
      double;  560.13676; 1493.69803;    0.71885;    402653184;   1073741824;         4;         8;        1
      double;  934.89303; 1495.82885;    0.71782;    671088640;   1073741824;         4;         8;        2
