num_elems = 134217728; Array is used; 
   Precision;   [GOPs/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its
      double;  151.14391; 1209.15129;    0.88801;    134217728;   1073741824;         1;         4;        0
      double;  452.18031; 1205.81417;    0.89047;    402653184;   1073741824;         1;         4;        1
      double;  752.24977; 1203.59964;    0.89211;    671088640;   1073741824;         1;         4;        2
      double; 1055.08739; 1205.81415;    0.89047;    939524096;   1073741824;         1;         4;        3
      double; 1365.01737; 1213.34877;    0.88494;   1207959552;   1073741824;         1;         4;        4
      double; 1661.05070; 1208.03687;    0.88883;   1476395008;   1073741824;         1;         4;        5
      double; 1966.68512; 1210.26776;    0.88719;   1744830464;   1073741824;         1;         4;        6
      double; 2282.42395; 1217.29277;    0.88207;   2013265920;   1073741824;         1;         4;        7
      double; 2587.34788; 1217.57547;    0.88187;   2281701376;   1073741824;         1;         4;        8
      double; 2934.67829; 1235.65402;    0.86897;   2550136832;   1073741824;         1;         4;        9
      double; 3317.87851; 1263.95372;    0.84951;   2818572288;   1073741824;         1;         4;       10
      double; 3790.11314; 1318.30022;    0.81449;   3087007744;   1073741824;         1;         4;       11
      double; 4565.05994; 1460.81918;    0.73503;   3355443200;   1073741824;         1;         4;       12
      double; 4777.19226; 1415.46437;    0.75858;   3623878656;   1073741824;         1;         4;       13
      double; 4810.28587; 1326.97541;    0.80916;   3892314112;   1073741824;         1;         4;       14
      double; 4839.48553; 1248.89949;    0.85975;   4160749568;   1073741824;         1;         4;       15
      double; 4864.34538; 1179.23524;    0.91054;   4429185024;   1073741824;         1;         4;       16
      double; 4994.18968;  815.37791;    1.31686;   6576668672;   1073741824;         1;         4;       24
      double; 5065.20808;  623.41023;    1.72237;   8724152320;   1073741824;         1;         4;       32
      double; 5106.21008;  504.31705;    2.12910;  10871635968;   1073741824;         1;         4;       40
      double; 5135.71823;  423.56439;    2.53501;  13019119616;   1073741824;         1;         4;       48
      double; 5156.00364;  365.02681;    2.94154;  15166603264;   1073741824;         1;         4;       56
      double; 5171.99563;  320.74391;    3.34766;  17314086912;   1073741824;         1;         4;       64
      double; 5787.29071;  180.14913;    5.96029;  34493956096;   1073741824;         1;         4;      128
      double; 9614.51043;  199.78203;    5.37457;  51673825280;   1073741824;         1;         4;      192
      double; 9652.58895;  150.52770;    7.13318;  68853694464;   1073741824;         1;         4;      256
      double; 9692.57618;   75.64938;   14.19366; 137573171200;   1073741824;         1;         4;      512
      double;  187.45995; 1499.67960;    0.71598;    134217728;   1073741824;         1;         8;        0
      double;  562.21904; 1499.25077;    0.71619;    402653184;   1073741824;         1;         8;        1
      double;  936.76387; 1498.82219;    0.71639;    671088640;   1073741824;         1;         8;        2
      double; 1312.59511; 1500.10870;    0.71578;    939524096;   1073741824;         1;         8;        3
      double; 1685.69306; 1498.39383;    0.71660;   1207959552;   1073741824;         1;         8;        4
      double; 2059.11461; 1497.53790;    0.71700;   1476395008;   1073741824;         1;         8;        5
      double; 2433.49908; 1497.53790;    0.71700;   1744830464;   1073741824;         1;         8;        6
      double; 2806.28037; 1496.68286;    0.71741;   2013265920;   1073741824;         1;         8;        7
      double; 3178.63631; 1495.82885;    0.71782;   2281701376;   1073741824;         1;         8;        8
      double; 3550.56751; 1494.97579;    0.71823;   2550136832;   1073741824;         1;         8;        9
      double; 3926.55074; 1495.82885;    0.71782;   2818572288;   1073741824;         1;         8;       10
      double; 4296.83018; 1494.54963;    0.71844;   3087007744;   1073741824;         1;         8;       11
      double; 4666.47684; 1493.27259;    0.71905;   3355443200;   1073741824;         1;         8;       12
      double; 5041.23084; 1493.69803;    0.71885;   3623878656;   1073741824;         1;         8;       13
      double; 5414.65535; 1493.69803;    0.71885;   3892314112;   1073741824;         1;         8;       14
      double; 5781.49121; 1491.99773;    0.71967;   4160749568;   1073741824;         1;         8;       15
      double; 6157.99550; 1492.84739;    0.71926;   4429185024;   1073741824;         1;         8;       16
      double; 9104.80274; 1486.49841;    0.72233;   6576668672;   1073741824;         1;         8;       24
      double; 9331.52231; 1148.49505;    0.93491;   8724152320;   1073741824;         1;         8;       32
      double; 9398.75365;  928.27197;    1.15671;  10871635968;   1073741824;         1;         8;       40
      double; 9433.13832;  777.99079;    1.38015;  13019119616;   1073741824;         1;         8;       48
      double; 9462.77510;  669.93098;    1.60276;  15166603264;   1073741824;         1;         8;       56
      double; 9495.83707;  588.88912;    1.82333;  17314086912;   1073741824;         1;         8;       64
      double; 9590.45220;  298.53548;    3.59670;  34493956096;   1073741824;         1;         8;      128
      double; 9626.24868;  200.02595;    5.36801;  51673825280;   1073741824;         1;         8;      192
      double; 9629.36575;  150.16555;    7.15039;  68853694464;   1073741824;         1;         8;      256
      double; 9656.35030;   75.36664;   14.24691; 137573171200;   1073741824;         1;         8;      512
      double;  187.08536; 1496.68289;    0.71741;    134217728;   1073741824;         4;         4;        0
      double;  561.09591; 1496.25575;    0.71762;    402653184;   1073741824;         4;         4;        1
      double;  935.42680; 1496.68289;    0.71741;    671088640;   1073741824;         4;         4;        2
      double; 1310.34564; 1497.53787;    0.71700;    939524096;   1073741824;         4;         4;        3
      double; 1685.69306; 1498.39383;    0.71660;   1207959552;   1073741824;         4;         4;        4
      double; 2059.11457; 1497.53787;    0.71700;   1476395008;   1073741824;         4;         4;        5
      double; 2430.02858; 1495.40220;    0.71803;   1744830464;   1073741824;         4;         4;        6
      double; 2803.07961; 1494.97579;    0.71823;   2013265920;   1073741824;         4;         4;        7
      double; 3180.45113; 1496.68289;    0.71741;   2281701376;   1073741824;         4;         4;        8
      double; 3551.58023; 1495.40220;    0.71803;   2550136832;   1073741824;         4;         4;        9
      double; 3924.31146; 1494.97579;    0.71823;   2818572288;   1073741824;         4;         4;       10
      double; 4295.60565; 1494.12371;    0.71864;   3087007744;   1073741824;         4;         4;       11
