   Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
      double;  102.18136;  817.45087;    1.31352;    134217728;   1073741824;         4;         8;        0;  134217728
      double;  497.40262;  795.84420;    1.34919;    671088640;   1073741824;         4;         8;        2;  134217728
      double; 1690.52637;  795.54182;    1.34970;   2281701376;   1073741824;         4;         8;        8;  134217728
      double; 3221.34076;  396.47271;    2.70824;   8724152320;   1073741824;         4;         8;       32;  134217728
      double; 3332.25171;  206.65127;    5.19591;  17314086912;   1073741824;         4;         8;       64;  134217728
      double; 3382.56339;  105.29380;   10.19758;  34493956096;   1073741824;         4;         8;      128;  134217728
      double; 3403.69693;   53.07909;   20.22909;  68853694464;   1073741824;         4;         8;      256;  134217728
      double; 3420.77667;   26.69874;   40.21694; 137573171200;   1073741824;         4;         8;      512;  134217728
       float;  178.54731;  714.18925;    0.75172;    134217728;    536870912;         4;         8;        0;  134217728
       float;  982.56482;  786.05186;    0.68300;    671088640;    536870912;         4;         8;        2;  134217728
       float; 3322.82385;  781.84091;    0.68668;   2281701376;    536870912;         4;         8;        8;  134217728
       float;11361.53500;  699.17138;    0.76787;   8724152320;    536870912;         4;         8;       32;  134217728
       float;12441.80246;  385.79232;    1.39161;  17314086912;    536870912;         4;         8;       64;  134217728
       float;12990.52576;  202.18717;    2.65532;  34493956096;    536870912;         4;         8;      128;  134217728
       float;13200.12277;  102.92493;    5.21614;  68853694464;    536870912;         4;         8;      256;  134217728
       float;13384.48197;   52.23212;   10.27856; 137573171200;    536870912;         4;         8;      512;  134217728
 Ac<3, d, d>;   57.54649;  460.37189;    2.33234;    134217728;   1073741824;         4;         8;        0;  134217728
 Ac<3, d, d>;  280.18782;  448.30051;    2.39514;    671088640;   1073741824;         4;         8;        2;  134217728
 Ac<3, d, d>;  860.83247;  405.09763;    2.65058;   2281701376;   1073741824;         4;         8;        8;  134217728
 Ac<3, d, d>; 2187.19589;  269.19334;    3.98874;   8724152320;   1073741824;         4;         8;       32;  134217728
 Ac<3, d, d>; 2676.91149;  166.01001;    6.46793;  17314086912;   1073741824;         4;         8;       64;  134217728
 Ac<3, d, d>; 3124.94564;   97.27457;   11.03826;  34493956096;   1073741824;         4;         8;      128;  134217728
 Ac<3, d, d>; 3276.04661;   51.08845;   21.01731;  68853694464;   1073741824;         4;         8;      256;  134217728
 Ac<3, d, d>; 3374.35236;   26.33641;   40.77024; 137573171200;   1073741824;         4;         8;      512;  134217728
 Ac<3, f, f>;   80.04192;  320.16767;    1.67684;    134217728;    536870912;         4;         8;        0;  134217728
 Ac<3, f, f>;  403.92624;  323.14099;    1.66141;    671088640;    536870912;         4;         8;        2;  134217728
 Ac<3, f, f>; 1290.95492;  303.75410;    1.76745;   2281701376;    536870912;         4;         8;        8;  134217728
 Ac<3, f, f>; 4377.57587;  269.38928;    1.99292;   8724152320;    536870912;         4;         8;       32;  134217728
 Ac<3, f, f>; 6845.45958;  212.26231;    2.52928;  17314086912;    536870912;         4;         8;       64;  134217728
 Ac<3, f, f>; 9479.37350;  147.53889;    3.63884;  34493956096;    536870912;         4;         8;      128;  134217728
 Ac<3, f, f>;11000.92467;   85.77719;    6.25890;  68853694464;    536870912;         4;         8;      256;  134217728
 Ac<3, f, f>;12129.86414;   47.33606;   11.34169; 137573171200;    536870912;         4;         8;      512;  134217728
 Ac<3, d, f>;   59.82749;  239.30997;    2.24341;    134217728;    536870912;         4;         8;        0;  134217728
 Ac<3, d, f>;  289.97381;  231.97905;    2.31431;    671088640;    536870912;         4;         8;        2;  134217728
 Ac<3, d, f>;  857.00866;  201.64910;    2.66240;   2281701376;    536870912;         4;         8;        8;  134217728
 Ac<3, d, f>; 2203.67858;  135.61099;    3.95890;   8724152320;    536870912;         4;         8;       32;  134217728
 Ac<3, d, f>; 2704.28561;   83.85382;    6.40246;  17314086912;    536870912;         4;         8;       64;  134217728
 Ac<3, d, f>; 3065.02221;   47.70463;   11.25406;  34493956096;    536870912;         4;         8;      128;  134217728
 Ac<3, d, f>; 3278.42654;   25.56278;   21.00205;  68853694464;    536870912;         4;         8;      256;  134217728
 Ac<3, d, f>; 3366.52514;   13.13766;   40.86504; 137573171200;    536870912;         4;         8;      512;  134217728
