   Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
      double;  109.58941;  876.71532;    1.22473;    134217728;   1073741824;         1;         4;        0;  134217728
      double;  328.81555;  876.84146;    1.22456;    402653184;   1073741824;         1;         4;        1;  134217728
      double;  550.25254;  880.40406;    1.21960;    671088640;   1073741824;         1;         4;        2;  134217728
      double;  766.53994;  876.04564;    1.22567;    939524096;   1073741824;         1;         4;        3;  134217728
      double;  984.81569;  875.39173;    1.22658;   1207959552;   1073741824;         1;         4;        4;  134217728
      double; 1164.72084;  847.06970;    1.26760;   1476395008;   1073741824;         1;         4;        5;  134217728
      double; 1396.30226;  859.26293;    1.24961;   1744830464;   1073741824;         1;         4;        6;  134217728
      double; 1615.47752;  861.58801;    1.24624;   2013265920;   1073741824;         1;         4;        7;  134217728
      double; 1815.48544;  854.34609;    1.25680;   2281701376;   1073741824;         1;         4;        8;  134217728
      double; 1988.63130;  837.31844;    1.28236;   2550136832;   1073741824;         1;         4;        9;  134217728
      double; 2166.56758;  825.35908;    1.30094;   2818572288;   1073741824;         1;         4;       10;  134217728
      double; 2342.84056;  814.90106;    1.31763;   3087007744;   1073741824;         1;         4;       11;  134217728
      double; 2489.98994;  796.79678;    1.34757;   3355443200;   1073741824;         1;         4;       12;  134217728
      double; 2595.06586;  768.90840;    1.39645;   3623878656;   1073741824;         1;         4;       13;  134217728
      double; 2680.69738;  739.50273;    1.45198;   3892314112;   1073741824;         1;         4;       14;  134217728
      double; 2742.31544;  707.69431;    1.51724;   4160749568;   1073741824;         1;         4;       15;  134217728
      double; 2792.44377;  676.95607;    1.58613;   4429185024;   1073741824;         1;         4;       16;  134217728
      double; 2979.87607;  486.51038;    2.20703;   6576668672;   1073741824;         1;         4;       24;  134217728
      double; 3073.53049;  378.28068;    2.83848;   8724152320;   1073741824;         1;         4;       32;  134217728
      double; 3081.94738;  304.38986;    3.52752;  10871635968;   1073741824;         1;         4;       40;  134217728
      double; 3185.61023;  262.73074;    4.08685;  13019119616;   1073741824;         1;         4;       48;  134217728
      double; 3215.88367;  227.67318;    4.71615;  15166603264;   1073741824;         1;         4;       56;  134217728
      double; 3248.46921;  201.45545;    5.32992;  17314086912;   1073741824;         1;         4;       64;  134217728
      double; 3348.45628;  104.23210;   10.30145;  34493956096;   1073741824;         1;         4;      128;  134217728
      double; 3376.71991;   70.16561;   15.30296;  51673825280;   1073741824;         1;         4;      192;  134217728
      double; 3396.04992;   52.95984;   20.27464;  68853694464;   1073741824;         1;         4;      256;  134217728
      double; 3425.37319;   26.73462;   40.16297; 137573171200;   1073741824;         1;         4;      512;  134217728
      double;  104.18277;  833.46216;    1.28829;    134217728;   1073741824;         1;         8;        0;  134217728
      double;  312.24580;  832.65545;    1.28954;    402653184;   1073741824;         1;         8;        1;  134217728
      double;  492.56988;  788.11181;    1.36242;    671088640;   1073741824;         1;         8;        2;  134217728
      double;  707.02703;  808.03090;    1.32884;    939524096;   1073741824;         1;         8;        3;  134217728
      double;  909.33900;  808.30134;    1.32839;   1207959552;   1073741824;         1;         8;        4;  134217728
      double; 1117.74216;  812.90339;    1.32087;   1476395008;   1073741824;         1;         8;        5;  134217728
      double; 1328.28323;  817.40506;    1.31360;   1744830464;   1073741824;         1;         8;        6;  134217728
      double; 1534.53424;  818.41826;    1.31197;   2013265920;   1073741824;         1;         8;        7;  134217728
      double; 1718.96308;  808.92380;    1.32737;   2281701376;   1073741824;         1;         8;        8;  134217728
      double; 1899.44453;  799.76612;    1.34257;   2550136832;   1073741824;         1;         8;        9;  134217728
      double; 2050.85216;  781.27701;    1.37434;   2818572288;   1073741824;         1;         8;       10;  134217728
      double; 2219.80433;  772.10585;    1.39067;   3087007744;   1073741824;         1;         8;       11;  134217728
      double; 2359.79779;  755.13529;    1.42192;   3355443200;   1073741824;         1;         8;       12;  134217728
      double; 2500.51488;  740.89330;    1.44925;   3623878656;   1073741824;         1;         8;       13;  134217728
      double; 2624.52450;  724.00676;    1.48305;   3892314112;   1073741824;         1;         8;       14;  134217728
      double; 2732.90576;  705.26600;    1.52246;   4160749568;   1073741824;         1;         8;       15;  134217728
      double; 2821.84401;  684.08340;    1.56961;   4429185024;   1073741824;         1;         8;       16;  134217728
      double; 3081.93208;  503.17258;    2.13394;   6576668672;   1073741824;         1;         8;       24;  134217728
      double; 3166.79594;  389.75950;    2.75488;   8724152320;   1073741824;         1;         8;       32;  134217728
      double; 3223.42735;  318.36319;    3.37269;  10871635968;   1073741824;         1;         8;       40;  134217728
      double; 3260.01856;  268.86751;    3.99357;  13019119616;   1073741824;         1;         8;       48;  134217728
      double; 3285.26943;  232.58545;    4.61655;  15166603264;   1073741824;         1;         8;       56;  134217728
      double; 3306.22010;  205.03691;    5.23682;  17314086912;   1073741824;         1;         8;       64;  134217728
      double; 3377.76342;  105.14439;   10.21207;  34493956096;   1073741824;         1;         8;      128;  134217728
      double; 3393.90364;   70.52267;   15.22548;  51673825280;   1073741824;         1;         8;      192;  134217728
      double; 3408.60852;   53.15569;   20.19994;  68853694464;   1073741824;         1;         8;      256;  134217728
      double; 3430.95443;   26.77818;   40.09764; 137573171200;   1073741824;         1;         8;      512;  134217728
      double;  102.28435;  818.27480;    1.31220;    134217728;   1073741824;         4;         4;        0;  134217728
      double;  297.79410;  794.11760;    1.35212;    402653184;   1073741824;         4;         4;        1;  134217728
      double;  491.98374;  787.17398;    1.36405;    671088640;   1073741824;         4;         4;        2;  134217728
      double;  688.16054;  786.46919;    1.36527;    939524096;   1073741824;         4;         4;        3;  134217728
      double;  884.25993;  786.00882;    1.36607;   1207959552;   1073741824;         4;         4;        4;  134217728
      double; 1096.96413;  797.79209;    1.34589;   1476395008;   1073741824;         4;         4;        5;  134217728
      double; 1251.12790;  769.92486;    1.39461;   1744830464;   1073741824;         4;         4;        6;  134217728
      double; 1461.33214;  779.37714;    1.37769;   2013265920;   1073741824;         4;         4;        7;  134217728
      double; 1656.09471;  779.33869;    1.37776;   2281701376;   1073741824;         4;         4;        8;  134217728
