   Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
      double;  111.85855;  894.86838;    2.39978;    268435456;   2147483648;         4;         8;        0;  268435456
      double;  335.63383;  895.02355;    2.39936;    805306368;   2147483648;         4;         8;        1;  268435456
      double;  559.21073;  894.73718;    2.40013;   1342177280;   2147483648;         4;         8;        2;  268435456
      double;  782.96806;  894.82064;    2.39990;   1879048192;   2147483648;         4;         8;        3;  268435456
      double; 1006.75373;  894.89221;    2.39971;   2415919104;   2147483648;         4;         8;        4;  268435456
      double; 1230.47679;  894.89221;    2.39971;   2952790016;   2147483648;         4;         8;        5;  268435456
      double; 1453.56022;  894.49860;    2.40077;   3489660928;   2147483648;         4;         8;        6;  268435456
      double; 1677.83337;  894.84447;    2.39984;   4026531840;   2147483648;         4;         8;        7;  268435456
      double; 1900.63228;  894.41519;    2.40099;   4563402752;   2147483648;         4;         8;        8;  268435456
      double; 2125.00079;  894.73718;    2.40013;   5100273664;   2147483648;         4;         8;        9;  268435456
      double; 2348.52831;  894.67745;    2.40029;   5637144576;   2147483648;         4;         8;       10;  268435456
      double; 2571.85485;  894.55821;    2.40061;   6174015488;   2147483648;         4;         8;       11;  268435456
      double; 2793.63242;  893.96237;    2.40221;   6710886400;   2147483648;         4;         8;       12;  268435456
      double; 3018.77178;  894.45090;    2.40090;   7247757312;   2147483648;         4;         8;       13;  268435456
      double; 3239.27618;  893.59343;    2.40320;   7784628224;   2147483648;         4;         8;       14;  268435456
      double; 3463.59681;  893.83143;    2.40256;   8321499136;   2147483648;         4;         8;       15;  268435456
      double; 3686.95661;  893.80766;    2.40262;   8858370048;   2147483648;         4;         8;       16;  268435456
      double; 5466.99912;  892.57129;    2.40595;  13153337344;   2147483648;         4;         8;       24;  268435456
      double; 7233.95732;  890.33321;    2.41200;  17448304640;   2147483648;         4;         8;       32;  268435456
      double; 7597.61220;  750.38145;    2.86186;  21743271936;   2147483648;         4;         8;       40;  268435456
      double; 7632.15870;  629.45639;    3.41165;  26038239232;   2147483648;         4;         8;       48;  268435456
      double; 7667.52172;  542.83340;    3.95606;  30333206528;   2147483648;         4;         8;       56;  268435456
      double; 7687.44208;  476.74059;    4.50451;  34628173824;   2147483648;         4;         8;       64;  268435456
      double; 7767.06212;  241.77625;    8.88211;  68987912192;   2147483648;         4;         8;      128;  268435456
      double; 7792.21030;  161.91606;   13.26294; 103347650560;   2147483648;         4;         8;      192;  268435456
      double; 7684.31708;  119.83340;   17.92058; 137707388928;   2147483648;         4;         8;      256;  268435456
      double; 7738.97209;   60.40173;   35.55334; 275146342400;   2147483648;         4;         8;      512;  268435456
 Ac<3, d, d>;  111.89435;  895.15484;    2.39901;    268435456;   2147483648;         4;         8;        0;  268435456
 Ac<3, d, d>;  335.66515;  895.10707;    2.39914;    805306368;   2147483648;         4;         8;        1;  268435456
 Ac<3, d, d>;  559.49418;  895.19069;    2.39891;   1342177280;   2147483648;         4;         8;        2;  268435456
 Ac<3, d, d>;  782.85327;  894.68945;    2.40026;   1879048192;   2147483648;         4;         8;        3;  268435456
 Ac<3, d, d>; 1006.76724;  894.90421;    2.39968;   2415919104;   2147483648;         4;         8;        4;  268435456
 Ac<3, d, d>; 1230.03391;  894.57011;    2.40058;   2952790016;   2147483648;         4;         8;        5;  268435456
 Ac<3, d, d>; 1454.16112;  894.86838;    2.39978;   3489660928;   2147483648;         4;         8;        6;  268435456
 Ac<3, d, d>; 1677.81104;  894.83255;    2.39987;   4026531840;   2147483648;         4;         8;        7;  268435456
 Ac<3, d, d>; 1901.06288;  894.61783;    2.40045;   4563402752;   2147483648;         4;         8;        8;  268435456
 Ac<3, d, d>; 2124.83067;  894.66554;    2.40032;   5100273664;   2147483648;         4;         8;        9;  268435456
 Ac<3, d, d>; 2347.99633;  894.47479;    2.40083;   5637144576;   2147483648;         4;         8;       10;  268435456
 Ac<3, d, d>; 2570.79272;  894.18877;    2.40160;   6174015488;   2147483648;         4;         8;       11;  268435456
 Ac<3, d, d>; 2794.07917;  894.10533;    2.40182;   6710886400;   2147483648;         4;         8;       12;  268435456
 Ac<3, d, d>; 3016.96252;  893.91482;    2.40234;   7247757312;   2147483648;         4;         8;       13;  268435456
 Ac<3, d, d>; 3240.91597;  894.04578;    2.40198;   7784628224;   2147483648;         4;         8;       14;  268435456
 Ac<3, d, d>; 3463.22770;  893.73618;    2.40282;   8321499136;   2147483648;         4;         8;       15;  268435456
 Ac<3, d, d>; 3687.54575;  893.95049;    2.40224;   8858370048;   2147483648;         4;         8;       16;  268435456
 Ac<3, d, d>; 5466.99912;  892.57129;    2.40595;  13153337344;   2147483648;         4;         8;       24;  268435456
 Ac<3, d, d>; 7233.18944;  890.23870;    2.41226;  17448304640;   2147483648;         4;         8;       32;  268435456
 Ac<3, d, d>; 7625.23674;  753.10980;    2.85149;  21743271936;   2147483648;         4;         8;       40;  268435456
 Ac<3, d, d>; 7688.48058;  634.10149;    3.38666;  26038239232;   2147483648;         4;         8;       48;  268435456
 Ac<3, d, d>; 7710.18042;  545.85348;    3.93418;  30333206528;   2147483648;         4;         8;       56;  268435456
 Ac<3, d, d>; 7728.12280;  479.26343;    4.48080;  34628173824;   2147483648;         4;         8;       64;  268435456
 Ac<3, d, d>; 7786.89647;  242.39366;    8.85949;  68987912192;   2147483648;         4;         8;      128;  268435456
 Ac<3, d, d>; 7794.39216;  161.96140;   13.25923; 103347650560;   2147483648;         4;         8;      192;  268435456
