   Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
      double;   54.75596;   97.34392;   44.12158;   2415919104;   4294967296;         4;         8;        0;  268435456
      double;  103.09200;   97.02776;   44.26534;   4563402752;   4294967296;         4;         8;        1;  268435456
      double;  152.29096;   97.46622;   44.06622;   6710886400;   4294967296;         4;         8;        2;  268435456
      double;  201.33648;   97.61769;   43.99784;   8858370048;   4294967296;         4;         8;        3;  268435456
      double;  249.88160;   97.51477;   44.04427;  11005853696;   4294967296;         4;         8;        4;  268435456
      double;  298.53192;   97.47981;   44.06007;  13153337344;   4294967296;         4;         8;        5;  268435456
      double;  346.74193;   97.33107;   44.12740;  15300820992;   4294967296;         4;         8;        6;  268435456
      double;  395.65837;   97.39283;   44.09942;  17448304640;   4294967296;         4;         8;        7;  268435456
      double;  444.86888;   97.50551;   44.04846;  19595788288;   4294967296;         4;         8;        8;  268435456
      double;  493.68785;   97.51859;   44.04255;  21743271936;   4294967296;         4;         8;        9;  268435456
      double;  545.57875;   98.08157;   43.78975;  23890755584;   4294967296;         4;         8;       10;  268435456
      double;  593.30007;   97.86393;   43.88713;  26038239232;   4294967296;         4;         8;       11;  268435456
      double;  646.96035;   98.58443;   43.56638;  28185722880;   4294967296;         4;         8;       12;  268435456
      double;  691.15037;   97.86200;   43.88800;  30333206528;   4294967296;         4;         8;       13;  268435456
      double;  740.22891;   97.88151;   43.87925;  32480690176;   4294967296;         4;         8;       14;  268435456
      double;  790.75719;   98.07841;   43.79116;  34628173824;   4294967296;         4;         8;       15;  268435456
      double;  837.41685;   97.80051;   43.91559;  36775657472;   4294967296;         4;         8;       16;  268435456
      double; 1251.78112;   99.64427;   43.10300;  53955526656;   4294967296;         4;         8;       24;  268435456
      double; 1319.77566;   79.68457;   53.89961;  71135395840;   4294967296;         4;         8;       32;  268435456
      double; 1303.89069;   63.41110;   67.73211;  88315265024;   4294967296;         4;         8;       40;  268435456
      double; 1313.36306;   53.47025;   80.32443; 105495134208;   4294967296;         4;         8;       48;  268435456
      double; 1330.28415;   46.57450;   92.21714; 122675003392;   4294967296;         4;         8;       56;  268435456
      double; 1338.71863;   41.11228;  104.46921; 139854872576;   4294967296;         4;         8;       64;  268435456
      double; 1377.41840;   21.33465;  201.31416; 277293826048;   4294967296;         4;         8;      128;  268435456
      double; 1397.87491;   14.47637;  296.68805; 414732779520;   4294967296;         4;         8;      192;  268435456
      double; 1415.17756;   11.00770;  390.17841; 552171732992;   4294967296;         4;         8;      256;  268435456
      double; 1452.26150;    5.66046;  758.76662;1101927546880;   4294967296;         4;         8;      512;  268435456
 Ac<3, d, d>;   54.82649;   97.46931;   44.06482;   2415919104;   4294967296;         4;         8;        0;  268435456
 Ac<3, d, d>;  103.01016;   96.95074;   44.30051;   4563402752;   4294967296;         4;         8;        1;  268435456
 Ac<3, d, d>;  152.15005;   97.37603;   44.10703;   6710886400;   4294967296;         4;         8;        2;  268435456
 Ac<3, d, d>;  200.82576;   97.37006;   44.10973;   8858370048;   4294967296;         4;         8;        3;  268435456
 Ac<3, d, d>;  249.82549;   97.49287;   44.05417;  11005853696;   4294967296;         4;         8;        4;  268435456
 Ac<3, d, d>;  298.00007;   97.30614;   44.13871;  13153337344;   4294967296;         4;         8;        5;  268435456
 Ac<3, d, d>;  347.14567;   97.44440;   44.07608;  15300820992;   4294967296;         4;         8;        6;  268435456
 Ac<3, d, d>;  395.63058;   97.38599;   44.10252;  17448304640;   4294967296;         4;         8;        7;  268435456
 Ac<3, d, d>;  444.80894;   97.49237;   44.05439;  19595788288;   4294967296;         4;         8;        8;  268435456
 Ac<3, d, d>;  493.35864;   97.45356;   44.07194;  21743271936;   4294967296;         4;         8;        9;  268435456
 Ac<3, d, d>;  545.17743;   98.00943;   43.82198;  23890755584;   4294967296;         4;         8;       10;  268435456
 Ac<3, d, d>;  594.21659;   98.01511;   43.81944;  26038239232;   4294967296;         4;         8;       11;  268435456
 Ac<3, d, d>;  641.34958;   97.72946;   43.94752;  28185722880;   4294967296;         4;         8;       12;  268435456
 Ac<3, d, d>;  689.81595;   97.67306;   43.97290;  30333206528;   4294967296;         4;         8;       13;  268435456
 Ac<3, d, d>;  739.38831;   97.77035;   43.92914;  32480690176;   4294967296;         4;         8;       14;  268435456
 Ac<3, d, d>;  788.30483;   97.77424;   43.92739;  34628173824;   4294967296;         4;         8;       15;  268435456
 Ac<3, d, d>;  840.73170;   98.18764;   43.74244;  36775657472;   4294967296;         4;         8;       16;  268435456
 Ac<3, d, d>; 1236.63543;   98.43864;   43.63091;  53955526656;   4294967296;         4;         8;       24;  268435456
 Ac<3, d, d>; 1275.56318;   77.01514;   55.76783;  71135395840;   4294967296;         4;         8;       32;  268435456
 Ac<3, d, d>; 1296.69254;   63.06104;   68.10810;  88315265024;   4294967296;         4;         8;       40;  268435456
 Ac<3, d, d>; 1320.86257;   53.77558;   79.86836; 105495134208;   4294967296;         4;         8;       48;  268435456
 Ac<3, d, d>; 1319.96203;   46.21311;   92.93828; 122675003392;   4294967296;         4;         8;       56;  268435456
 Ac<3, d, d>; 1327.73239;   40.77489;  105.33363; 139854872576;   4294967296;         4;         8;       64;  268435456
 Ac<3, d, d>; 1361.74748;   21.09193;  203.63087; 277293826048;   4294967296;         4;         8;      128;  268435456
 Ac<3, d, d>; 1384.03256;   14.33302;  299.65536; 414732779520;   4294967296;         4;         8;      192;  268435456
 Ac<3, d, d>; 1393.16534;   10.83648;  396.34329; 552171732992;   4294967296;         4;         8;      256;  268435456
 Ac<3, d, d>; 1429.56925;    5.57201;  770.81089;1101927546880;   4294967296;         4;         8;      512;  268435456
 Ac<3, d, f>;  110.36550;   98.10267;   21.89016;   2415919104;   2147483648;         4;         8;        0;  268435456
 Ac<3, d, f>;  208.85651;   98.28542;   21.84946;   4563402752;   2147483648;         4;         8;        1;  268435456
 Ac<3, d, f>;  306.60935;   98.11499;   21.88742;   6710886400;   2147483648;         4;         8;        2;  268435456
 Ac<3, d, f>;  406.00455;   98.42535;   21.81840;   8858370048;   2147483648;         4;         8;        3;  268435456
 Ac<3, d, f>;  501.38526;   97.83127;   21.95089;  11005853696;   2147483648;         4;         8;        4;  268435456
 Ac<3, d, f>;  603.10324;   98.46584;   21.80943;  13153337344;   2147483648;         4;         8;        5;  268435456
 Ac<3, d, f>;  704.22697;   98.83887;   21.72712;  15300820992;   2147483648;         4;         8;        6;  268435456
 Ac<3, d, f>;  807.52043;   99.38713;   21.60726;  17448304640;   2147483648;         4;         8;        7;  268435456
 Ac<3, d, f>;  900.28154;   98.66099;   21.76629;  19595788288;   2147483648;         4;         8;        8;  268435456
 Ac<3, d, f>; 1006.95257;   99.45211;   21.59314;  21743271936;   2147483648;         4;         8;        9;  268435456
 Ac<3, d, f>; 1108.08216;   99.60289;   21.56045;  23890755584;   2147483648;         4;         8;       10;  268435456
