   Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
      double;  127.35211; 1018.81690;    2.10782;    268435456;   2147483648;         4;         8;        0;  268435456
      double;  385.42082; 1027.78885;    2.08942;    805306368;   2147483648;         4;         8;        1;  268435456
      double;  648.52549; 1037.64078;    2.06958;   1342177280;   2147483648;         4;         8;        2;  268435456
      double;  903.46543; 1032.53192;    2.07982;   1879048192;   2147483648;         4;         8;        3;  268435456
      double; 1167.96494; 1038.19106;    2.06849;   2415919104;   2147483648;         4;         8;        4;  268435456
      double; 1407.49596; 1023.63343;    2.09790;   2952790016;   2147483648;         4;         8;        5;  268435456
      double; 1651.06325; 1016.03892;    2.11358;   3489660928;   2147483648;         4;         8;        6;  268435456
      double; 1906.80512; 1016.96273;    2.11166;   4026531840;   2147483648;         4;         8;        7;  268435456
      double; 2161.53830; 1017.19449;    2.11118;   4563402752;   2147483648;         4;         8;        8;  268435456
      double; 2422.44610; 1019.97730;    2.10542;   5100273664;   2147483648;         4;         8;        9;  268435456
      double; 2691.75943; 1025.43217;    2.09422;   5637144576;   2147483648;         4;         8;       10;  268435456
      double; 2914.27282; 1013.66011;    2.11854;   6174015488;   2147483648;         4;         8;       11;  268435456
      double; 3193.49473; 1021.91831;    2.10142;   6710886400;   2147483648;         4;         8;       12;  268435456
      double; 3416.20107; 1012.20772;    2.12158;   7247757312;   2147483648;         4;         8;       13;  268435456
      double; 3717.47389; 1025.51004;    2.09406;   7784628224;   2147483648;         4;         8;       14;  268435456
      double; 3955.41620; 1020.75257;    2.10382;   8321499136;   2147483648;         4;         8;       15;  268435456
      double; 4201.26632; 1018.48880;    2.10850;   8858370048;   2147483648;         4;         8;       16;  268435456
      double; 6246.40890; 1019.82186;    2.10574;  13153337344;   2147483648;         4;         8;       24;  268435456
      double; 8208.09729; 1010.22736;    2.12574;  17448304640;   2147483648;         4;         8;       32;  268435456
      double; 9814.14702;  969.29847;    2.21550;  21743271936;   2147483648;         4;         8;       40;  268435456
      double;10453.50980;  862.14514;    2.49086;  26038239232;   2147483648;         4;         8;       48;  268435456
      double;10590.68910;  749.78330;    2.86414;  30333206528;   2147483648;         4;         8;       56;  268435456
      double;10708.94056;  664.12034;    3.23358;  34628173824;   2147483648;         4;         8;       64;  268435456
      double;11166.35741;  347.59089;    6.17819;  68987912192;   2147483648;         4;         8;      128;  268435456
      double;11302.32131;  234.85343;    9.14393; 103347650560;   2147483648;         4;         8;      192;  268435456
      double;11352.93855;  177.04388;   12.12967; 137707388928;   2147483648;         4;         8;      256;  268435456
      double;11419.30788;   89.12631;   24.09484; 275146342400;   2147483648;         4;         8;      512;  268435456
 Ac<3, d, d>;  126.43056; 1011.44447;    2.12318;    268435456;   2147483648;         4;         8;        0;  268435456
 Ac<3, d, d>;  381.30308; 1016.80821;    2.11198;    805306368;   2147483648;         4;         8;        1;  268435456
 Ac<3, d, d>;  630.20591; 1008.32945;    2.12974;   1342177280;   2147483648;         4;         8;        2;  268435456
 Ac<3, d, d>;  880.63432; 1006.43922;    2.13374;   1879048192;   2147483648;         4;         8;        3;  268435456
 Ac<3, d, d>; 1135.82131; 1009.61894;    2.12702;   2415919104;   2147483648;         4;         8;        4;  268435456
 Ac<3, d, d>; 1405.35102; 1022.07347;    2.10110;   2952790016;   2147483648;         4;         8;        5;  268435456
 Ac<3, d, d>; 1665.30861; 1024.80530;    2.09550;   3489660928;   2147483648;         4;         8;        6;  268435456
 Ac<3, d, d>; 1919.45817; 1023.71102;    2.09774;   4026531840;   2147483648;         4;         8;        7;  268435456
 Ac<3, d, d>; 2166.78584; 1019.66393;    2.10607;   4563402752;   2147483648;         4;         8;        8;  268435456
 Ac<3, d, d>; 2427.42559; 1022.07393;    2.10110;   5100273664;   2147483648;         4;         8;        9;  268435456
 Ac<3, d, d>; 2685.80735; 1023.16471;    2.09886;   5637144576;   2147483648;         4;         8;       10;  268435456
 Ac<3, d, d>; 2922.43944; 1016.50067;    2.11262;   6174015488;   2147483648;         4;         8;       11;  268435456
 Ac<3, d, d>; 3191.55062; 1021.29620;    2.10270;   6710886400;   2147483648;         4;         8;       12;  268435456
 Ac<3, d, d>; 3434.07076; 1017.50245;    2.11054;   7247757312;   2147483648;         4;         8;       13;  268435456
 Ac<3, d, d>; 3701.91706; 1021.21850;    2.10286;   7784628224;   2147483648;         4;         8;       14;  268435456
 Ac<3, d, d>; 3916.98753; 1010.83549;    2.12446;   8321499136;   2147483648;         4;         8;       15;  268435456
 Ac<3, d, d>; 4198.46867; 1017.81059;    2.10991;   8858370048;   2147483648;         4;         8;       16;  268435456
 Ac<3, d, d>; 6178.80058; 1008.78377;    2.12878;  13153337344;   2147483648;         4;         8;       24;  268435456
 Ac<3, d, d>; 8143.72849; 1002.30505;    2.14254;  17448304640;   2147483648;         4;         8;       32;  268435456
