   Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
      double;   81.25576;  144.45469;   29.73228;   2415919104;   4294967296;         4;         8;        0;  268435456
      double;  153.55295;  144.52042;   29.71876;   4563402752;   4294967296;         4;         8;        1;  268435456
      double;  225.16391;  144.10490;   29.80445;   6710886400;   4294967296;         4;         8;        2;  268435456
      double;  297.25496;  144.12362;   29.80058;   8858370048;   4294967296;         4;         8;        3;  268435456
      double;  370.60057;  144.62461;   29.69735;  11005853696;   4294967296;         4;         8;        4;  268435456
      double;  442.92139;  144.62739;   29.69678;  13153337344;   4294967296;         4;         8;        5;  268435456
      double;  514.93357;  144.54276;   29.71417;  15300820992;   4294967296;         4;         8;        6;  268435456
      double;  586.44688;  144.35615;   29.75258;  17448304640;   4294967296;         4;         8;        7;  268435456
      double;  658.29718;  144.28431;   29.76739;  19595788288;   4294967296;         4;         8;        8;  268435456
      double;  728.99765;  143.99954;   29.82626;  21743271936;   4294967296;         4;         8;        9;  268435456
      double;  801.90341;  144.16241;   29.79256;  23890755584;   4294967296;         4;         8;       10;  268435456
      double;  867.71961;  143.12901;   30.00766;  26038239232;   4294967296;         4;         8;       11;  268435456
      double;  940.71768;  143.34746;   29.96194;  28185722880;   4294967296;         4;         8;       12;  268435456
      double; 1008.70479;  142.82546;   30.07144;  30333206528;   4294967296;         4;         8;       13;  268435456
      double; 1079.08857;  142.68940;   30.10011;  32480690176;   4294967296;         4;         8;       14;  268435456
      double; 1147.35912;  142.30811;   30.18076;  34628173824;   4294967296;         4;         8;       15;  268435456
      double; 1220.16509;  142.50103;   30.13990;  36775657472;   4294967296;         4;         8;       16;  268435456
      double; 1256.35864;  100.00865;   42.94596;  53955526656;   4294967296;         4;         8;       24;  268435456
      double; 1268.04767;   76.56137;   56.09836;  71135395840;   4294967296;         4;         8;       32;  268435456
      double; 1278.85271;   62.19344;   69.05820;  88315265024;   4294967296;         4;         8;       40;  268435456
      double; 1305.98270;   53.16978;   80.77835; 105495134208;   4294967296;         4;         8;       48;  268435456
      double; 1309.46957;   45.84576;   93.68297; 122675003392;   4294967296;         4;         8;       56;  268435456
      double; 1318.03416;   40.47706;  106.10869; 139854872576;   4294967296;         4;         8;       64;  268435456
      double; 1357.52638;   21.02655;  204.26404; 277293826048;   4294967296;         4;         8;      128;  268435456
      double; 1388.77989;   14.38219;  298.63104; 414732779520;   4294967296;         4;         8;      192;  268435456
      double; 1402.28061;   10.90738;  393.76693; 552171732992;   4294967296;         4;         8;      256;  268435456
      double; 1409.54312;    5.49396;  781.76221;1101927546880;   4294967296;         4;         8;      512;  268435456
      double;   80.65811;  143.39220;   29.95259;   2415919104;   4294967296;         4;        16;        0;  268435456
      double;  152.27242;  143.31522;   29.96868;   4563402752;   4294967296;         4;        16;        1;  268435456
      double;  224.20821;  143.49325;   29.93149;   6710886400;   4294967296;         4;        16;        2;  268435456
      double;  296.10207;  143.56464;   29.91661;   8858370048;   4294967296;         4;        16;        3;  268435456
      double;  367.79525;  143.52986;   29.92386;  11005853696;   4294967296;         4;        16;        4;  268435456
      double;  439.77844;  143.60112;   29.90901;  13153337344;   4294967296;         4;        16;        5;  268435456
      double;  511.12916;  143.47485;   29.93533;  15300820992;   4294967296;         4;        16;        6;  268435456
      double;  582.34881;  143.34740;   29.96195;  17448304640;   4294967296;         4;        16;        7;  268435456
      double;  654.10455;  143.36538;   29.95819;  19595788288;   4294967296;         4;        16;        8;  268435456
      double;  725.89913;  143.38748;   29.95357;  21743271936;   4294967296;         4;        16;        9;  268435456
      double;  796.71938;  143.23045;   29.98641;  23890755584;   4294967296;         4;        16;       10;  268435456
      double;  866.27390;  142.89054;   30.05774;  26038239232;   4294967296;         4;        16;       11;  268435456
      double;  937.64646;  142.87946;   30.06007;  28185722880;   4294967296;         4;        16;       12;  268435456
      double; 1002.80500;  141.99009;   30.24836;  30333206528;   4294967296;         4;        16;       13;  268435456
      double; 1076.54740;  142.35337;   30.17117;  32480690176;   4294967296;         4;        16;       14;  268435456
      double; 1146.35626;  142.18372;   30.20717;  34628173824;   4294967296;         4;        16;       15;  268435456
      double; 1220.29797;  142.51655;   30.13662;  36775657472;   4294967296;         4;        16;       16;  268435456
      double; 1380.40403;  109.88291;   39.08676;  53955526656;   4294967296;         4;        16;       24;  268435456
      double; 1260.72650;   76.11934;   56.42413;  71135395840;   4294967296;         4;        16;       32;  268435456
      double; 1271.07094;   61.81500;   69.48099;  88315265024;   4294967296;         4;        16;       40;  268435456
      double; 1285.83500;   52.34952;   82.04407; 105495134208;   4294967296;         4;        16;       48;  268435456
      double; 1299.72663;   45.50465;   94.38523; 122675003392;   4294967296;         4;        16;       56;  268435456
      double; 1387.07195;   42.59722;  100.82741; 139854872576;   4294967296;         4;        16;       64;  268435456
      double; 1347.83460;   20.87643;  205.73283; 277293826048;   4294967296;         4;        16;      128;  268435456
      double; 1358.45024;   14.06809;  305.29847; 414732779520;   4294967296;         4;        16;      192;  268435456
      double; 1372.25928;   10.67387;  402.38149; 552171732992;   4294967296;         4;        16;      256;  268435456
      double; 1423.35733;    5.54780;  774.17492;1101927546880;   4294967296;         4;        16;      512;  268435456
 Ac<3, d, d>;   81.32149;  144.57154;   29.70825;   2415919104;   4294967296;         4;         8;        0;  268435456
 Ac<3, d, d>;  152.76815;  143.78179;   29.87143;   4563402752;   4294967296;         4;         8;        1;  268435456
 Ac<3, d, d>;  225.14078;  144.09010;   29.80751;   6710886400;   4294967296;         4;         8;        2;  268435456
 Ac<3, d, d>;  298.34441;  144.65184;   29.69176;   8858370048;   4294967296;         4;         8;        3;  268435456
 Ac<3, d, d>;  370.49852;  144.58479;   29.70553;  11005853696;   4294967296;         4;         8;        4;  268435456
 Ac<3, d, d>;  442.94697;  144.63575;   29.69506;  13153337344;   4294967296;         4;         8;        5;  268435456
 Ac<3, d, d>;  515.05723;  144.57747;   29.70703;  15300820992;   4294967296;         4;         8;        6;  268435456
 Ac<3, d, d>;  587.34600;  144.57748;   29.70703;  17448304640;   4294967296;         4;         8;        7;  268435456
