   Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
      double;  214.14679;  190.35271;   11.28160;   2415919104;   2147483648;         4;         8;        0;  268435456
      double;  464.11693;  218.40796;    9.83244;   4563402752;   2147483648;         4;         8;        1;  268435456
      double;  687.06088;  219.85948;    9.76753;   6710886400;   2147483648;         4;         8;        2;  268435456
      double;  891.98429;  216.23862;    9.93108;   8858370048;   2147483648;         4;         8;        3;  268435456
      double;  969.00402;  189.07396;   11.35790;  11005853696;   2147483648;         4;         8;        4;  268435456
      double; 1163.38547;  189.94048;   11.30609;  13153337344;   2147483648;         4;         8;        5;  268435456
      double; 1226.42513;  172.12984;   12.47595;  15300820992;   2147483648;         4;         8;        6;  268435456
      double; 1270.84810;  156.41207;   13.72965;  17448304640;   2147483648;         4;         8;        7;  268435456
      double; 1310.11946;  143.57474;   14.95725;  19595788288;   2147483648;         4;         8;        8;  268435456
      double; 1328.65664;  131.22535;   16.36485;  21743271936;   2147483648;         4;         8;        9;  268435456
      double; 1348.22658;  121.18891;   17.72013;  23890755584;   2147483648;         4;         8;       10;  268435456
      double; 1356.55890;  111.88115;   19.19433;  26038239232;   2147483648;         4;         8;       11;  268435456
      double; 1366.60442;  104.12224;   20.62464;  28185722880;   2147483648;         4;         8;       12;  268435456
      double; 1375.52930;   97.38261;   22.05203;  30333206528;   2147483648;         4;         8;       13;  268435456
      double; 1381.14991;   91.31570;   23.51714;  32480690176;   2147483648;         4;         8;       14;  268435456
      double; 1394.32273;   86.46963;   24.83512;  34628173824;   2147483648;         4;         8;       15;  268435456
      double; 1395.46870;   81.48722;   26.35362;  36775657472;   2147483648;         4;         8;       16;  268435456
      double;  291.62232;   11.60686;  185.01851;  53955526656;   2147483648;         4;         8;       24;  268435456
      double;  272.29311;    8.22017;  261.24567;  71135395840;   2147483648;         4;         8;       32;  268435456
      double;  275.49195;    6.69889;  320.57295;  88315265024;   2147483648;         4;         8;       40;  268435456
      double;  271.27038;    5.52204;  388.89293; 105495134208;   2147483648;         4;         8;       48;  268435456
      double;  276.65214;    4.84293;  443.42691; 122675003392;   2147483648;         4;         8;       56;  268435456
      double;  271.80729;    4.17362;  514.53688; 139854872576;   2147483648;         4;         8;       64;  268435456
      double;  270.94368;    2.09831; 1023.43713; 277293826048;   2147483648;         4;         8;      128;  268435456
      double;  272.84389;    1.41278; 1520.03690; 414732779520;   2147483648;         4;         8;      192;  268435456
      double;  274.47191;    1.06746; 2011.76041; 552171732992;   2147483648;         4;         8;      256;  268435456
      double;  275.55984;    0.53702; 3998.86838;1101927546880;   2147483648;         4;         8;      512;  268435456
      double;  244.66190;  217.47725;    9.87452;   2415919104;   2147483648;         4;        16;        0;  268435456
      double;  466.55599;  219.55576;    9.78104;   4563402752;   2147483648;         4;        16;        1;  268435456
      double;  686.40073;  219.64823;    9.77692;   6710886400;   2147483648;         4;        16;        2;  268435456
      double;  900.22183;  218.23560;    9.84021;   8858370048;   2147483648;         4;        16;        3;  268435456
      double;  996.12764;  194.36637;   11.04864;  11005853696;   2147483648;         4;        16;        4;  268435456
      double; 1179.79319;  192.61930;   11.14885;  13153337344;   2147483648;         4;        16;        5;  268435456
      double; 1238.22693;  173.78624;   12.35704;  15300820992;   2147483648;         4;        16;        6;  268435456
      double; 1286.04839;  158.28288;   13.56738;  17448304640;   2147483648;         4;        16;        7;  268435456
      double; 1307.65265;  143.30440;   14.98547;  19595788288;   2147483648;         4;        16;        8;  268435456
      double; 1327.77332;  131.13811;   16.37574;  21743271936;   2147483648;         4;        16;        9;  268435456
      double; 1343.10810;  120.72882;   17.78766;  23890755584;   2147483648;         4;        16;       10;  268435456
      double; 1352.69877;  111.56278;   19.24910;  26038239232;   2147483648;         4;        16;       11;  268435456
      double; 1362.25767;  103.79106;   20.69045;  28185722880;   2147483648;         4;        16;       12;  268435456
      double; 1369.72530;   96.97170;   22.14547;  30333206528;   2147483648;         4;        16;       13;  268435456
      double; 1376.04534;   90.97820;   23.60438;  32480690176;   2147483648;         4;        16;       14;  268435456
      double; 1380.93422;   85.63933;   25.07590;  34628173824;   2147483648;         4;        16;       15;  268435456
      double; 1386.95649;   80.99016;   26.51536;  36775657472;   2147483648;         4;        16;       16;  268435456
      double;  395.03268;   15.72269;  136.58497;  53955526656;   2147483648;         4;        16;       24;  268435456
      double;  369.44028;   11.15291;  192.54910;  71135395840;   2147483648;         4;        16;       32;  268435456
      double;  375.18583;    9.12306;  235.39073;  88315265024;   2147483648;         4;        16;       40;  268435456
      double;  375.81791;    7.65024;  280.70811; 105495134208;   2147483648;         4;        16;       48;  268435456
      double;  381.62730;    6.68057;  321.45238; 122675003392;   2147483648;         4;        16;       56;  268435456
      double;  385.22462;    5.91516;  363.04759; 139854872576;   2147483648;         4;        16;       64;  268435456
