   Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
      double;  364.46656;  323.97028;    6.62864;   2415919104;   2147483648;         4;         8;        0;  268435456
      double;  692.35273;  325.81305;    6.59115;   4563402752;   2147483648;         4;         8;        1;  268435456
      double; 1020.28106;  326.48994;    6.57749;   6710886400;   2147483648;         4;         8;        2;  268435456
      double; 1343.24170;  325.63435;    6.59477;   8858370048;   2147483648;         4;         8;        3;  268435456
      double; 1673.71489;  326.57852;    6.57570;  11005853696;   2147483648;         4;         8;        4;  268435456
      double; 1999.45236;  326.44120;    6.57847;  13153337344;   2147483648;         4;         8;        5;  268435456
      double; 2318.74958;  325.43854;    6.59874;  15300820992;   2147483648;         4;         8;        6;  268435456
      double; 2637.53267;  324.61941;    6.61539;  17448304640;   2147483648;         4;         8;        7;  268435456
      double; 2961.38078;  324.53488;    6.61711;  19595788288;   2147483648;         4;         8;        8;  268435456
      double; 3271.96468;  323.15701;    6.64533;  21743271936;   2147483648;         4;         8;        9;  268435456
      double; 3561.96036;  320.17621;    6.70719;  23890755584;   2147483648;         4;         8;       10;  268435456
      double; 3898.00945;  321.48532;    6.67988;  26038239232;   2147483648;         4;         8;       11;  268435456
      double; 4072.99482;  310.32341;    6.92015;  28185722880;   2147483648;         4;         8;       12;  268435456
      double; 4134.29893;  292.69373;    7.33697;  30333206528;   2147483648;         4;         8;       13;  268435456
      double; 4147.72776;  274.22993;    7.83096;  32480690176;   2147483648;         4;         8;       14;  268435456
      double; 4138.74278;  256.66622;    8.36683;  34628173824;   2147483648;         4;         8;       15;  268435456
      double; 4222.67898;  246.57979;    8.70908;  36775657472;   2147483648;         4;         8;       16;  268435456
      double; 1129.40953;   44.95162;   47.77322;  53955526656;   2147483648;         4;         8;       24;  268435456
      double; 1111.03077;   33.54055;   64.02649;  71135395840;   2147483648;         4;         8;       32;  268435456
      double; 1091.18195;   26.53330;   80.93542;  88315265024;   2147483648;         4;         8;       40;  268435456
      double; 1094.93288;   22.28871;   96.34849; 105495134208;   2147483648;         4;         8;       48;  268435456
      double; 1045.43604;   18.30085;  117.34338; 122675003392;   2147483648;         4;         8;       56;  268435456
      double; 1094.81347;   16.81096;  127.74311; 139854872576;   2147483648;         4;         8;       64;  268435456
      double; 1059.28630;    8.20357;  261.77420; 277293826048;   2147483648;         4;         8;      128;  268435456
      double; 1084.41715;    5.61510;  382.44764; 414732779520;   2147483648;         4;         8;      192;  268435456
      double; 1084.37871;    4.21732;  509.20562; 552171732992;   2147483648;         4;         8;      256;  268435456
      double; 1096.03461;    2.13600; 1005.37660;1101927546880;   2147483648;         4;         8;      512;  268435456
      double;  366.90106;  326.13428;    6.58466;   2415919104;   2147483648;         4;        16;        0;  268435456
      double;  693.78268;  326.48597;    6.57757;   4563402752;   2147483648;         4;        16;        1;  268435456
      double; 1023.31452;  327.46065;    6.55799;   6710886400;   2147483648;         4;        16;        2;  268435456
      double; 1348.66928;  326.95013;    6.56823;   8858370048;   2147483648;         4;        16;        3;  268435456
      double; 1676.67061;  327.15524;    6.56411;  11005853696;   2147483648;         4;        16;        4;  268435456
      double; 1991.78101;  325.18874;    6.60381;  13153337344;   2147483648;         4;        16;        5;  268435456
      double; 2318.97871;  325.47070;    6.59809;  15300820992;   2147483648;         4;        16;        6;  268435456
      double; 2631.12924;  323.83129;    6.63149;  17448304640;   2147483648;         4;        16;        7;  268435456
      double; 2940.65434;  322.26349;    6.66375;  19595788288;   2147483648;         4;        16;        8;  268435456
      double; 3241.72083;  320.16996;    6.70732;  21743271936;   2147483648;         4;        16;        9;  268435456
      double; 3560.08297;  320.00746;    6.71073;  23890755584;   2147483648;         4;        16;       10;  268435456
      double; 3898.08531;  321.49157;    6.67975;  26038239232;   2147483648;         4;        16;       11;  268435456
      double; 4181.51925;  318.59194;    6.74055;  28185722880;   2147483648;         4;        16;       12;  268435456
      double; 4201.70462;  297.46581;    7.21926;  30333206528;   2147483648;         4;        16;       13;  268435456
      double; 4240.22370;  280.34537;    7.66014;  32480690176;   2147483648;         4;        16;       14;  268435456
      double; 4236.18922;  262.70941;    8.17437;  34628173824;   2147483648;         4;        16;       15;  268435456
      double; 4244.22642;  247.83804;    8.66487;  36775657472;   2147483648;         4;        16;       16;  268435456
      double; 1136.19459;   45.22168;   47.48793;  53955526656;   2147483648;         4;        16;       24;  268435456
      double; 1085.63870;   32.77400;   65.52401;  71135395840;   2147483648;         4;        16;       32;  268435456
      double; 1079.73966;   26.25507;   81.79311;  88315265024;   2147483648;         4;        16;       40;  268435456
      double; 1100.37698;   22.39953;   95.87181; 105495134208;   2147483648;         4;        16;       48;  268435456
      double; 1082.31237;   18.94639;  113.34528; 122675003392;   2147483648;         4;        16;       56;  268435456
      double; 1076.19738;   16.52510;  129.95281; 139854872576;   2147483648;         4;        16;       64;  268435456
      double; 1056.15074;    8.17929;  262.55137; 277293826048;   2147483648;         4;        16;      128;  268435456
      double; 1080.75522;    5.59614;  383.74349; 414732779520;   2147483648;         4;        16;      192;  268435456
      double; 1085.93831;    4.22339;  508.47431; 552171732992;   2147483648;         4;        16;      256;  268435456
      double; 1070.79806;    2.08682; 1029.07130;1101927546880;   2147483648;         4;        16;      512;  268435456
 Ac<3, d, d>;  365.36810;  324.77164;    6.61229;   2415919104;   2147483648;         4;         8;        0;  268435456
 Ac<3, d, d>;  696.46410;  327.74781;    6.55224;   4563402752;   2147483648;         4;         8;        1;  268435456
 Ac<3, d, d>; 1021.94927;  327.02377;    6.56675;   6710886400;   2147483648;         4;         8;        2;  268435456
 Ac<3, d, d>; 1349.63586;  327.18445;    6.56353;   8858370048;   2147483648;         4;         8;        3;  268435456
 Ac<3, d, d>; 1675.58242;  326.94291;    6.56838;  11005853696;   2147483648;         4;         8;        4;  268435456
 Ac<3, d, d>; 1999.44202;  326.43951;    6.57850;  13153337344;   2147483648;         4;         8;        5;  268435456
 Ac<3, d, d>; 2321.05983;  325.76278;    6.59217;  15300820992;   2147483648;         4;         8;        6;  268435456
 Ac<3, d, d>; 2643.43981;  325.34644;    6.60061;  17448304640;   2147483648;         4;         8;        7;  268435456
 Ac<3, d, d>; 2964.59711;  324.88735;    6.60993;  19595788288;   2147483648;         4;         8;        8;  268435456
 Ac<3, d, d>; 3252.71464;  321.25577;    6.68465;  21743271936;   2147483648;         4;         8;        9;  268435456
 Ac<3, d, d>; 3554.69430;  319.52308;    6.72090;  23890755584;   2147483648;         4;         8;       10;  268435456
 Ac<3, d, d>; 3898.73142;  321.54486;    6.67864;  26038239232;   2147483648;         4;         8;       11;  268435456
 Ac<3, d, d>; 4074.27301;  310.42080;    6.91798;  28185722880;   2147483648;         4;         8;       12;  268435456
 Ac<3, d, d>; 4183.07875;  296.14717;    7.25141;  30333206528;   2147483648;         4;         8;       13;  268435456
 Ac<3, d, d>; 4166.65044;  275.48102;    7.79540;  32480690176;   2147483648;         4;         8;       14;  268435456
 Ac<3, d, d>; 4180.48147;  259.25466;    8.28330;  34628173824;   2147483648;         4;         8;       15;  268435456
 Ac<3, d, d>; 4253.57461;  248.38392;    8.64582;  36775657472;   2147483648;         4;         8;       16;  268435456
 Ac<3, d, d>; 1117.72521;   44.48658;   48.27262;  53955526656;   2147483648;         4;         8;       24;  268435456
 Ac<3, d, d>; 1105.88603;   33.38524;   64.32435;  71135395840;   2147483648;         4;         8;       32;  268435456
 Ac<3, d, d>; 1099.06043;   26.72487;   80.35524;  88315265024;   2147483648;         4;         8;       40;  268435456
 Ac<3, d, d>; 1098.09555;   22.35309;   96.07100; 105495134208;   2147483648;         4;         8;       48;  268435456
 Ac<3, d, d>; 1088.49567;   19.05463;  112.70142; 122675003392;   2147483648;         4;         8;       56;  268435456
 Ac<3, d, d>; 1067.86502;   16.39716;  130.96681; 139854872576;   2147483648;         4;         8;       64;  268435456
 Ac<3, d, d>; 1055.58347;    8.17490;  262.69247; 277293826048;   2147483648;         4;         8;      128;  268435456
 Ac<3, d, d>; 1082.83397;    5.60691;  383.00680; 414732779520;   2147483648;         4;         8;      192;  268435456
 Ac<3, d, d>; 1082.80023;    4.21118;  509.94793; 552171732992;   2147483648;         4;         8;      256;  268435456
 Ac<3, d, d>; 1096.50752;    2.13692; 1004.94299;1101927546880;   2147483648;         4;         8;      512;  268435456
 Ac<3, d, d>;  368.14493;  327.23994;    6.56241;   2415919104;   2147483648;         4;        16;        0;  268435456
