   Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
      double;  165.35114;  293.95759;   14.61084;   2415919104;   4294967296;         4;         8;        0;  268435456
      double;  312.09303;  293.73462;   14.62193;   4563402752;   4294967296;         4;         8;        1;  268435456
      double;  459.94015;  294.36169;   14.59078;   6710886400;   4294967296;         4;         8;        2;  268435456
      double;  606.33865;  293.98238;   14.60961;   8858370048;   4294967296;         4;         8;        3;  268435456
      double;  752.99884;  293.85321;   14.61603;  11005853696;   4294967296;         4;         8;        4;  268435456
      double;  900.14020;  293.92333;   14.61254;  13153337344;   4294967296;         4;         8;        5;  268435456
      double; 1047.97703;  294.16899;   14.60034;  15300820992;   4294967296;         4;         8;        6;  268435456
      double; 1195.54555;  294.28814;   14.59443;  17448304640;   4294967296;         4;         8;        7;  268435456
      double; 1340.81736;  293.87778;   14.61481;  19595788288;   4294967296;         4;         8;        8;  268435456
      double; 1487.80837;  293.88807;   14.61430;  21743271936;   4294967296;         4;         8;        9;  268435456
      double; 1634.00631;  293.75394;   14.62097;  23890755584;   4294967296;         4;         8;       10;  268435456
      double; 1777.03532;  293.11923;   14.65263;  26038239232;   4294967296;         4;         8;       11;  268435456
      double; 1912.36646;  291.40822;   14.73866;  28185722880;   4294967296;         4;         8;       12;  268435456
      double; 2064.57401;  292.32906;   14.69224;  30333206528;   4294967296;         4;         8;       13;  268435456
      double; 2191.41644;  289.77407;   14.82178;  32480690176;   4294967296;         4;         8;       14;  268435456
      double; 2333.13822;  289.38148;   14.84189;  34628173824;   4294967296;         4;         8;       15;  268435456
      double; 2469.68818;  288.43074;   14.89081;  36775657472;   4294967296;         4;         8;       16;  268435456
      double; 3651.07195;  290.63259;   14.77800;  53955526656;   4294967296;         4;         8;       24;  268435456
      double; 3760.01953;  227.02005;   18.91889;  71135395840;   4294967296;         4;         8;       32;  268435456
      double; 3798.17162;  184.71351;   23.25205;  88315265024;   4294967296;         4;         8;       40;  268435456
      double; 3833.24918;  156.06104;   27.52107; 105495134208;   4294967296;         4;         8;       48;  268435456
      double; 3790.01894;  132.69213;   32.36791; 122675003392;   4294967296;         4;         8;       56;  268435456
      double; 3927.33310;  120.60908;   35.61065; 139854872576;   4294967296;         4;         8;       64;  268435456
      double; 3813.98074;   59.07424;   72.70457; 277293826048;   4294967296;         4;         8;      128;  268435456
      double; 3904.20234;   40.43187;  106.22728; 414732779520;   4294967296;         4;         8;      192;  268435456
      double; 3906.35696;   30.38489;  141.35209; 552171732992;   4294967296;         4;         8;      256;  268435456
      double; 3967.34884;   15.46348;  277.74909;1101927546880;   4294967296;         4;         8;      512;  268435456
      double;  165.85668;  294.85631;   14.56631;   2415919104;   4294967296;         4;        16;        0;  268435456
      double;  312.55325;  294.16776;   14.60040;   4563402752;   4294967296;         4;        16;        1;  268435456
      double;  460.00585;  294.40374;   14.58870;   6710886400;   4294967296;         4;        16;        2;  268435456
      double;  607.57238;  294.58055;   14.57994;   8858370048;   4294967296;         4;        16;        3;  268435456
      double;  753.55777;  294.07133;   14.60519;  11005853696;   4294967296;         4;        16;        4;  268435456
      double;  902.05443;  294.54839;   14.58153;  13153337344;   4294967296;         4;        16;        5;  268435456
      double; 1047.63333;  294.07251;   14.60513;  15300820992;   4294967296;         4;        16;        6;  268435456
      double; 1195.92815;  294.38231;   14.58976;  17448304640;   4294967296;         4;        16;        7;  268435456
      double; 1342.93392;  294.34168;   14.59177;  19595788288;   4294967296;         4;        16;        8;  268435456
      double; 1491.02308;  294.52308;   14.58279;  21743271936;   4294967296;         4;        16;        9;  268435456
      double; 1636.99020;  294.29037;   14.59432;  23890755584;   4294967296;         4;        16;       10;  268435456
      double; 1789.75643;  295.21756;   14.54848;  26038239232;   4294967296;         4;        16;       11;  268435456
      double; 1927.60574;  293.73040;   14.62214;  28185722880;   4294967296;         4;        16;       12;  268435456
      double; 2073.96061;  293.65814;   14.62574;  30333206528;   4294967296;         4;        16;       13;  268435456
      double; 2216.28535;  293.06253;   14.65546;  32480690176;   4294967296;         4;        16;       14;  268435456
      double; 2360.24772;  292.74390;   14.67141;  34628173824;   4294967296;         4;        16;       15;  268435456
      double; 2513.96739;  293.60203;   14.62853;  36775657472;   4294967296;         4;        16;       16;  268435456
      double; 3692.78155;  293.95276;   14.61108;  53955526656;   4294967296;         4;        16;       24;  268435456
      double; 3796.16588;  229.20247;   18.73875;  71135395840;   4294967296;         4;        16;       32;  268435456
      double; 3708.28668;  180.34221;   23.81565;  88315265024;   4294967296;         4;        16;       40;  268435456
      double; 3795.77795;  154.53549;   27.79276; 105495134208;   4294967296;         4;        16;       48;  268435456
      double; 3788.07516;  132.62408;   32.38452; 122675003392;   4294967296;         4;        16;       56;  268435456
      double; 3914.42584;  120.21269;   35.72807; 139854872576;   4294967296;         4;        16;       64;  268435456
      double; 3869.28878;   59.93090;   71.66532; 277293826048;   4294967296;         4;        16;      128;  268435456
      double; 3868.40630;   40.06117;  107.21024; 414732779520;   4294967296;         4;        16;      192;  268435456
      double; 3925.00631;   30.52995;  140.68047; 552171732992;   4294967296;         4;        16;      256;  268435456
      double; 3970.20949;   15.47463;  277.54897;1101927546880;   4294967296;         4;        16;      512;  268435456
 Ac<3, d, d>;  165.39436;  294.03442;   14.60702;   2415919104;   4294967296;         4;         8;        0;  268435456
 Ac<3, d, d>;  312.50094;  294.11853;   14.60285;   4563402752;   4294967296;         4;         8;        1;  268435456
 Ac<3, d, d>;  459.99920;  294.39948;   14.58891;   6710886400;   4294967296;         4;         8;        2;  268435456
 Ac<3, d, d>;  606.23848;  293.93381;   14.61202;   8858370048;   4294967296;         4;         8;        3;  268435456
 Ac<3, d, d>;  752.57894;  293.68934;   14.62418;  11005853696;   4294967296;         4;         8;        4;  268435456
 Ac<3, d, d>;  900.26058;  293.96264;   14.61059;  13153337344;   4294967296;         4;         8;        5;  268435456
 Ac<3, d, d>; 1049.81553;  294.68506;   14.57477;  15300820992;   4294967296;         4;         8;        6;  268435456
 Ac<3, d, d>; 1192.96996;  293.65414;   14.62594;  17448304640;   4294967296;         4;         8;        7;  268435456
 Ac<3, d, d>; 1334.64795;  292.52558;   14.68236;  19595788288;   4294967296;         4;         8;        8;  268435456
 Ac<3, d, d>; 1486.20362;  293.57109;   14.63008;  21743271936;   4294967296;         4;         8;        9;  268435456
 Ac<3, d, d>; 1628.88080;  292.83250;   14.66698;  23890755584;   4294967296;         4;         8;       10;  268435456
