      Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
         double;  111.84215;  894.73718;    2.40013;    268435456;   2147483648;         4;         8;        0;  268435456
         double;  335.80848;  895.48928;    2.39811;    805306368;   2147483648;         4;         8;        1;  268435456
         double;  559.24051;  894.78482;    2.40000;   1342177280;   2147483648;         4;         8;        2;  268435456
         double;  782.92629;  894.77291;    2.40003;   1879048192;   2147483648;         4;         8;        3;  268435456
         double; 1006.48534;  894.65364;    2.40035;   2415919104;   2147483648;         4;         8;        4;  268435456
         double; 1230.23074;  894.71327;    2.40019;   2952790016;   2147483648;         4;         8;        5;  268435456
         double; 1453.73462;  894.60592;    2.40048;   3489660928;   2147483648;         4;         8;        6;  268435456
         double; 1677.09543;  894.45090;    2.40090;   4026531840;   2147483648;         4;         8;        7;  268435456
         double; 1900.75893;  894.47479;    2.40083;   4563402752;   2147483648;         4;         8;        8;  268435456
         double; 2124.46244;  894.51050;    2.40074;   5100273664;   2147483648;         4;         8;        9;  268435456
         double; 2347.83988;  894.41519;    2.40099;   5637144576;   2147483648;         4;         8;       10;  268435456
         double; 2571.03239;  894.27213;    2.40138;   6174015488;   2147483648;         4;         8;       11;  268435456
         double; 2793.81848;  894.02191;    2.40205;   6710886400;   2147483648;         4;         8;       12;  268435456
         double; 3017.00264;  893.92671;    2.40230;   7247757312;   2147483648;         4;         8;       13;  268435456
         double; 3239.75058;  893.72430;    2.40285;   7784628224;   2147483648;         4;         8;       14;  268435456
         double; 3463.13561;  893.71242;    2.40288;   8321499136;   2147483648;         4;         8;       15;  268435456
         double; 3685.92553;  893.55770;    2.40330;   8858370048;   2147483648;         4;         8;       16;  268435456
         double; 5464.16451;  892.10849;    2.40720;  13153337344;   2147483648;         4;         8;       24;  268435456
         double; 7239.04708;  890.95964;    2.41030;  17448304640;   2147483648;         4;         8;       32;  268435456
         double; 7721.94631;  762.66136;    2.81578;  21743271936;   2147483648;         4;         8;       40;  268435456
         double; 7738.64211;  638.23852;    3.36470;  26038239232;   2147483648;         4;         8;       48;  268435456
         double; 7742.29750;  548.12726;    3.91786;  30333206528;   2147483648;         4;         8;       56;  268435456
         double; 7753.92792;  480.86375;    4.46589;  34628173824;   2147483648;         4;         8;       64;  268435456
         double; 7791.65206;  242.54170;    8.85408;  68987912192;   2147483648;         4;         8;      128;  268435456
         double; 7807.05342;  162.22449;   13.23773; 103347650560;   2147483648;         4;         8;      192;  268435456
         double; 7799.66492;  121.63220;   17.65555; 137707388928;   2147483648;         4;         8;      256;  268435456
         double; 7771.89138;   60.65866;   35.40275; 275146342400;   2147483648;         4;         8;      512;  268435456
         double;  111.85258;  894.82064;    2.39990;    268435456;   2147483648;         4;        16;        0;  268435456
         double;  335.61145;  894.96388;    2.39952;    805306368;   2147483648;         4;        16;        1;  268435456
         double;  559.20324;  894.72518;    2.40016;   1342177280;   2147483648;         4;        16;        2;  268435456
         double;  782.93672;  894.78482;    2.40000;   1879048192;   2147483648;         4;        16;        3;  268435456
         double; 1006.51213;  894.67745;    2.40029;   2415919104;   2147483648;         4;        16;        4;  268435456
         double; 1230.18150;  894.67745;    2.40029;   2952790016;   2147483648;         4;        16;        5;  268435456
         double; 1453.65709;  894.55821;    2.40061;   3489660928;   2147483648;         4;        16;        6;  268435456
         double; 1676.80487;  894.29593;    2.40131;   4026531840;   2147483648;         4;        16;        7;  268435456
         double; 1900.48018;  894.34361;    2.40118;   4563402752;   2147483648;         4;        16;        8;  268435456
         double; 2123.21733;  893.98624;    2.40214;   5100273664;   2147483648;         4;        16;        9;  268435456
         double; 2347.05772;  894.11723;    2.40179;   5637144576;   2147483648;         4;        16;       10;  268435456
         double; 2569.38903;  893.70053;    2.40291;   6174015488;   2147483648;         4;        16;       11;  268435456
         double; 2792.55371;  893.61719;    2.40314;   6710886400;   2147483648;         4;        16;       12;  268435456
         double; 3017.84666;  894.17679;    2.40163;   7247757312;   2147483648;         4;        16;       13;  268435456
         double; 3236.56100;  892.84441;    2.40522;   7784628224;   2147483648;         4;        16;       14;  268435456
         double; 3459.77210;  892.84441;    2.40522;   8321499136;   2147483648;         4;        16;       15;  268435456
         double; 3684.99332;  893.33171;    2.40390;   8858370048;   2147483648;         4;        16;       16;  268435456
         double; 5460.24530;  891.46862;    2.40893;  13153337344;   2147483648;         4;        16;       24;  268435456
         double; 7221.02371;  888.74138;    2.41632;  17448304640;   2147483648;         4;        16;       32;  268435456
         double; 7752.16474;  765.64590;    2.80480;  21743271936;   2147483648;         4;        16;       40;  268435456
         double; 7799.54142;  643.26115;    3.33843;  26038239232;   2147483648;         4;        16;       48;  268435456
         double; 7803.09952;  552.43182;    3.88733;  30333206528;   2147483648;         4;        16;       56;  268435456
         double; 7775.43362;  482.19743;    4.45354;  34628173824;   2147483648;         4;        16;       64;  268435456
         double; 7797.26053;  242.71628;    8.84771;  68987912192;   2147483648;         4;        16;      128;  268435456
         double; 7763.75664;  161.32481;   13.31155; 103347650560;   2147483648;         4;        16;      192;  268435456
         double; 7841.90650;  122.29094;   17.56045; 137707388928;   2147483648;         4;        16;      256;  268435456
         double; 7851.48985;   61.27992;   35.04384; 275146342400;   2147483648;         4;        16;      512;  268435456
    Ac<3, d, d>;  111.88391;  895.07131;    2.39923;    268435456;   2147483648;         4;         8;        0;  268435456
    Ac<3, d, d>;  335.62039;  894.98771;    2.39946;    805306368;   2147483648;         4;         8;        1;  268435456
    Ac<3, d, d>;  559.21818;  894.74909;    2.40010;   1342177280;   2147483648;         4;         8;        2;  268435456
    Ac<3, d, d>;  782.97848;  894.83255;    2.39987;   1879048192;   2147483648;         4;         8;        3;  268435456
    Ac<3, d, d>; 1006.78064;  894.91613;    2.39965;   2415919104;   2147483648;         4;         8;        4;  268435456
    Ac<3, d, d>; 1230.26362;  894.73718;    2.40013;   2952790016;   2147483648;         4;         8;        5;  268435456
    Ac<3, d, d>; 1453.85086;  894.67745;    2.40029;   3489660928;   2147483648;         4;         8;        6;  268435456
    Ac<3, d, d>; 1677.60971;  894.72518;    2.40016;   4026531840;   2147483648;         4;         8;        7;  268435456
    Ac<3, d, d>; 1900.65758;  894.42709;    2.40096;   4563402752;   2147483648;         4;         8;        8;  268435456
    Ac<3, d, d>; 2124.00956;  894.31982;    2.40125;   5100273664;   2147483648;         4;         8;        9;  268435456
    Ac<3, d, d>; 2347.83988;  894.41519;    2.40099;   5637144576;   2147483648;         4;         8;       10;  268435456
