      Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
         double;  185.39179; 1483.13431;    1.44794;    268435456;   2147483648;         1;         2;        0;  268435456
         double;  557.35789; 1486.28770;    1.44486;    805306368;   2147483648;         1;         2;        1;  268435456
         double;  929.58864; 1487.34182;    1.44384;   1342177280;   2147483648;         1;         2;        2;  268435456
         double; 1301.42409; 1487.34182;    1.44384;   1879048192;   2147483648;         1;         2;        3;  268435456
         double; 1674.44710; 1488.39743;    1.44282;   2415919104;   2147483648;         1;         2;        4;  268435456
         double; 2046.54646; 1488.39743;    1.44282;   2952790016;   2147483648;         1;         2;        5;  268435456
         double; 2418.64582; 1488.39743;    1.44282;   3489660928;   2147483648;         1;         2;        6;  268435456
         double; 2790.74517; 1488.39743;    1.44282;   4026531840;   2147483648;         1;         2;        7;  268435456
         double; 3165.09088; 1489.45453;    1.44179;   4563402752;   2147483648;         1;         2;        8;  268435456
         double; 3534.94389; 1488.39743;    1.44282;   5100273664;   2147483648;         1;         2;        9;  268435456
         double; 3907.04324; 1488.39743;    1.44282;   5637144576;   2147483648;         1;         2;       10;  268435456
         double; 4276.10772; 1487.34182;    1.44384;   6174015488;   2147483648;         1;         2;       11;  268435456
         double; 4647.94318; 1487.34182;    1.44384;   6710886400;   2147483648;         1;         2;       12;  268435456
         double; 5023.34131; 1488.39743;    1.44282;   7247757312;   2147483648;         1;         2;       13;  268435456
         double; 5395.44067; 1488.39743;    1.44282;   7784628224;   2147483648;         1;         2;       14;  268435456
         double; 5767.54002; 1488.39743;    1.44282;   8321499136;   2147483648;         1;         2;       15;  268435456
         double; 6135.28499; 1487.34182;    1.44384;   8858370048;   2147483648;         1;         2;       16;  268435456
         double; 8569.08336; 1399.03402;    1.53498;  13153337344;   2147483648;         1;         2;       24;  268435456
         double; 8865.43200; 1091.13009;    1.96813;  17448304640;   2147483648;         1;         2;       32;  268435456
         double; 9220.00144;  910.61743;    2.35827;  21743271936;   2147483648;         1;         2;       40;  268435456
         double; 9470.37930;  781.06221;    2.74944;  26038239232;   2147483648;         1;         2;       48;  268435456
         double; 9509.55771;  673.24302;    3.18976;  30333206528;   2147483648;         1;         2;       56;  268435456
         double; 9533.85283;  591.24669;    3.63213;  34628173824;   2147483648;         1;         2;       64;  268435456
         double; 9625.80486;  299.63595;    7.16698;  68987912192;   2147483648;         1;         2;      128;  268435456
         double; 9657.93689;  200.68440;   10.70080; 103347650560;   2147483648;         1;         2;      192;  268435456
         double; 9672.72302;  150.84168;   14.23667; 137707388928;   2147483648;         1;         2;      256;  268435456
         double; 9719.92508;   75.86283;   28.30746; 275146342400;   2147483648;         1;         2;      512;  268435456
         double;  188.32184; 1506.57471;    1.42541;    268435456;   2147483648;         1;         8;        0;  268435456
         double;  564.96551; 1506.57471;    1.42541;    805306368;   2147483648;         1;         8;        1;  268435456
         double;  941.60919; 1506.57471;    1.42541;   1342177280;   2147483648;         1;         8;        2;  268435456
         double; 1317.30652; 1505.49317;    1.42643;   1879048192;   2147483648;         1;         8;        3;  268435456
         double; 1693.67981; 1505.49317;    1.42643;   2415919104;   2147483648;         1;         8;        4;  268435456
         double; 2067.08526; 1503.33474;    1.42848;   2952790016;   2147483648;         1;         8;        5;  268435456
         double; 2444.67141; 1504.41318;    1.42746;   3489660928;   2147483648;         1;         8;        6;  268435456
         double; 2820.77471; 1504.41318;    1.42746;   4026531840;   2147483648;         1;         8;        7;  268435456
         double; 3194.58631; 1503.33474;    1.42848;   4563402752;   2147483648;         1;         8;        8;  268435456
         double; 3570.42000; 1503.33474;    1.42848;   5100273664;   2147483648;         1;         8;        9;  268435456
         double; 3943.42683; 1502.25784;    1.42950;   5637144576;   2147483648;         1;         8;       10;  268435456
         double; 4322.08737; 1503.33474;    1.42848;   6174015488;   2147483648;         1;         8;       11;  268435456
         double; 4694.55575; 1502.25784;    1.42950;   6710886400;   2147483648;         1;         8;       12;  268435456
         double; 5070.12021; 1502.25784;    1.42950;   7247757312;   2147483648;         1;         8;       13;  268435456
         double; 5445.68467; 1502.25784;    1.42950;   7784628224;   2147483648;         1;         8;       14;  268435456
         double; 5817.08214; 1501.18249;    1.43053;   8321499136;   2147483648;         1;         8;       15;  268435456
         double; 6187.94827; 1500.10867;    1.43155;   8858370048;   2147483648;         1;         8;       16;  268435456
         double; 8540.59550; 1394.38294;    1.54010;  13153337344;   2147483648;         1;         8;       24;  268435456
         double; 9092.50824; 1119.07794;    1.91898;  17448304640;   2147483648;         1;         8;       32;  268435456
         double; 9403.74860;  928.76529;    2.31219;  21743271936;   2147483648;         1;         8;       40;  268435456
         double; 9599.08223;  791.67688;    2.71258;  26038239232;   2147483648;         1;         8;       48;  268435456
         double; 9614.49936;  680.67252;    3.15494;  30333206528;   2147483648;         1;         8;       56;  268435456
         double; 9623.38537;  596.79909;    3.59834;  34628173824;   2147483648;         1;         8;       64;  268435456
         double; 9658.92616;  300.66696;    7.14240;  68987912192;   2147483648;         1;         8;      128;  268435456
