      Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
         double;  143.60412; 1148.83298;    1.86927;    268435456;   2147483648;         1;         2;        0;  268435456
         double;  430.40712; 1147.75232;    1.87103;    805306368;   2147483648;         1;         2;        1;  268435456
         double;  717.71345; 1148.34151;    1.87007;   1342177280;   2147483648;         1;         2;        2;  268435456
         double; 1006.43493; 1150.21135;    1.86703;   1879048192;   2147483648;         1;         2;        3;  268435456
         double; 1292.21592; 1148.63637;    1.86959;   2415919104;   2147483648;         1;         2;        4;  268435456
         double; 1579.37501; 1148.63637;    1.86959;   2952790016;   2147483648;         1;         2;        5;  268435456
         double; 1868.13288; 1149.62024;    1.86799;   3489660928;   2147483648;         1;         2;        6;  268435456
         double; 2155.16866; 1149.42329;    1.86831;   4026531840;   2147483648;         1;         2;        7;  268435456
         double; 2443.98954; 1150.11273;    1.86719;   4563402752;   2147483648;         1;         2;        8;  268435456
         double; 2733.86041; 1151.09912;    1.86559;   5100273664;   2147483648;         1;         2;        9;  268435456
         double; 3036.21743; 1156.65426;    1.85663;   5637144576;   2147483648;         1;         2;       10;  268435456
         double; 3326.81450; 1157.15287;    1.85583;   6174015488;   2147483648;         1;         2;       11;  268435456
         double; 3616.41447; 1157.25263;    1.85567;   6710886400;   2147483648;         1;         2;       12;  268435456
         double; 3903.37179; 1156.55460;    1.85679;   7247757312;   2147483648;         1;         2;       13;  268435456
         double; 4194.31759; 1157.05313;    1.85599;   7784628224;   2147483648;         1;         2;       14;  268435456
         double; 4482.42149; 1156.75393;    1.85647;   8321499136;   2147483648;         1;         2;       15;  268435456
         double; 4770.78774; 1156.55460;    1.85679;   8858370048;   2147483648;         1;         2;       16;  268435456
         double; 6976.88345; 1139.08301;    1.88527;  13153337344;   2147483648;         1;         2;       24;  268435456
         double; 8679.73759; 1068.27540;    2.01023;  17448304640;   2147483648;         1;         2;       32;  268435456
         double; 9223.79958;  910.99255;    2.35730;  21743271936;   2147483648;         1;         2;       40;  268435456
         double; 9645.53904;  795.50837;    2.69951;  26038239232;   2147483648;         1;         2;       48;  268435456
         double;10001.74675;  708.08827;    3.03279;  30333206528;   2147483648;         1;         2;       56;  268435456
         double;10212.18302;  633.31368;    3.39087;  34628173824;   2147483648;         1;         2;       64;  268435456
         double;10827.30798;  337.03682;    6.37166;  68987912192;   2147483648;         1;         2;      128;  268435456
         double;10821.50664;  224.86248;    9.55021; 103347650560;   2147483648;         1;         2;      192;  268435456
         double;11269.64306;  175.74492;   12.21932; 137707388928;   2147483648;         1;         2;      256;  268435456
         double;11371.37533;   88.75220;   24.19640; 275146342400;   2147483648;         1;         2;      512;  268435456
         double;  131.02126; 1048.17010;    2.04879;    268435456;   2147483648;         1;         8;        0;  268435456
         double;  400.22126; 1067.25669;    2.01215;    805306368;   2147483648;         1;         8;        1;  268435456
         double;  663.97313; 1062.35701;    2.02143;   1342177280;   2147483648;         1;         8;        2;  268435456
         double;  933.03294; 1066.32335;    2.01391;   1879048192;   2147483648;         1;         8;        3;  268435456
         double; 1192.03816; 1059.58947;    2.02671;   2415919104;   2147483648;         1;         8;        4;  268435456
         double; 1456.82036; 1059.50572;    2.02687;   2952790016;   2147483648;         1;         8;        5;  268435456
         double; 1720.43904; 1058.73172;    2.02835;   3489660928;   2147483648;         1;         8;        6;  268435456
         double; 1994.76055; 1063.87230;    2.01855;   4026531840;   2147483648;         1;         8;        7;  268435456
         double; 2248.96321; 1058.33563;    2.02911;   4563402752;   2147483648;         1;         8;        8;  268435456
         double; 2518.31405; 1060.34276;    2.02527;   5100273664;   2147483648;         1;         8;        9;  268435456
         double; 2787.36359; 1061.85280;    2.02239;   5637144576;   2147483648;         1;         8;       10;  268435456
         double; 3048.00246; 1060.17477;    2.02559;   6174015488;   2147483648;         1;         8;       11;  268435456
         double; 3335.17715; 1067.25669;    2.01215;   6710886400;   2147483648;         1;         8;       12;  268435456
         double; 3586.58904; 1062.69305;    2.02079;   7247757312;   2147483648;         1;         8;       13;  268435456
         double; 3855.01126; 1063.45138;    2.01935;   7784628224;   2147483648;         1;         8;       14;  268435456
         double; 4120.54524; 1063.36651;    2.01951;   8321499136;   2147483648;         1;         8;       15;  268435456
         double; 4389.51896; 1064.12581;    2.01807;   8858370048;   2147483648;         1;         8;       16;  268435456
         double; 6477.71158; 1057.58556;    2.03055;  13153337344;   2147483648;         1;         8;       24;  268435456
         double; 8701.90122; 1071.00323;    2.00511;  17448304640;   2147483648;         1;         8;       32;  268435456
         double; 9740.24791;  961.99979;    2.23231;  21743271936;   2147483648;         1;         8;       40;  268435456
         double;10103.65077;  833.29079;    2.57711;  26038239232;   2147483648;         1;         8;       48;  268435456
         double;10358.03517;  733.31222;    2.92847;  30333206528;   2147483648;         1;         8;       56;  268435456
         double;10495.45625;  650.88101;    3.29935;  34628173824;   2147483648;         1;         8;       64;  268435456
         double;11112.77911;  345.92309;    6.20798;  68987912192;   2147483648;         1;         8;      128;  268435456
         double; 9354.04672;  194.36980;   11.04844; 103347650560;   2147483648;         1;         8;      192;  268435456
         double;11256.96974;  175.54729;   12.23308; 137707388928;   2147483648;         1;         8;      256;  268435456
         double;11365.69690;   88.70788;   24.20849; 275146342400;   2147483648;         1;         8;      512;  268435456
         double;  133.92891; 1071.43129;    2.00431;    268435456;   2147483648;         1;        16;        0;  268435456
         double;  404.33664; 1078.23104;    1.99167;    805306368;   2147483648;         1;        16;        1;  268435456
         double;  674.05683; 1078.49093;    1.99119;   1342177280;   2147483648;         1;        16;        2;  268435456
         double;  943.98299; 1078.83770;    1.99055;   1879048192;   2147483648;         1;        16;        3;  268435456
         double; 1212.13351; 1077.45201;    1.99311;   2415919104;   2147483648;         1;        16;        4;  268435456
         double; 1485.19256; 1080.14004;    1.98815;   2952790016;   2147483648;         1;        16;        5;  268435456
         double; 1752.40696; 1078.40429;    1.99135;   3489660928;   2147483648;         1;        16;        6;  268435456
         double; 2030.65438; 1083.01567;    1.98287;   4026531840;   2147483648;         1;        16;        7;  268435456
         double; 2294.18983; 1079.61874;    1.98911;   4563402752;   2147483648;         1;        16;        8;  268435456
         double; 2549.94168; 1073.65965;    2.00015;   5100273664;   2147483648;         1;        16;        9;  268435456
         double; 2817.68049; 1073.40209;    2.00063;   5637144576;   2147483648;         1;        16;       10;  268435456
         double; 3079.62753; 1071.17479;    2.00479;   6174015488;   2147483648;         1;        16;       11;  268435456
