      Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
         double;  172.69349; 1381.54792;    1.55440;    268435456;   2147483648;         4;         8;        0;  268435456
         double;  517.81397; 1380.83724;    1.55520;    805306368;   2147483648;         4;         8;        1;  268435456
         double;  863.37859; 1381.40575;    1.55456;   1342177280;   2147483648;         4;         8;        2;  268435456
         double; 1208.97886; 1381.69013;    1.55424;   1879048192;   2147483648;         4;         8;        3;  268435456
         double; 1555.52241; 1382.68658;    1.55312;   2415919104;   2147483648;         4;         8;        4;  268435456
         double; 1900.41207; 1382.11787;    1.55376;   2952790016;   2147483648;         4;         8;        5;  268435456
         double; 2245.24801; 1381.69108;    1.55424;   3489660928;   2147483648;         4;         8;        6;  268435456
         double; 2591.47100; 1382.11787;    1.55376;   4026531840;   2147483648;         4;         8;        7;  268435456
         double; 2938.81441; 1382.97149;    1.55280;   4563402752;   2147483648;         4;         8;        8;  268435456
         double; 3284.89571; 1383.11398;    1.55264;   5100273664;   2147483648;         4;         8;        9;  268435456
         double; 3627.31245; 1381.83331;    1.55408;   5637144576;   2147483648;         4;         8;       10;  268435456
         double; 3971.95302; 1381.54888;    1.55440;   6174015488;   2147483648;         4;         8;       11;  268435456
         double; 4316.45142; 1381.26445;    1.55472;   6710886400;   2147483648;         4;         8;       12;  268435456
         double; 4664.16471; 1381.97473;    1.55392;   7247757312;   2147483648;         4;         8;       13;  268435456
         double; 5012.23886; 1382.68658;    1.55312;   7784628224;   2147483648;         4;         8;       14;  268435456
         double; 5355.70345; 1382.11702;    1.55376;   8321499136;   2147483648;         4;         8;       15;  268435456
         double; 5702.99428; 1382.54407;    1.55328;   8858370048;   2147483648;         4;         8;       16;  268435456
         double; 8448.94148; 1379.41902;    1.55680;  13153337344;   2147483648;         4;         8;       24;  268435456
         double;11198.56472; 1378.28489;    1.55808;  17448304640;   2147483648;         4;         8;       32;  268435456
         double;13943.67991; 1377.15357;    1.55936;  21743271936;   2147483648;         4;         8;       40;  268435456
         double;16643.35020; 1372.64744;    1.56448;  26038239232;   2147483648;         4;         8;       48;  268435456
         double;18031.39589; 1276.55900;    1.68224;  30333206528;   2147483648;         4;         8;       56;  268435456
         double;19029.77291; 1180.14096;    1.81968;  34628173824;   2147483648;         4;         8;       64;  268435456
         double;15987.74294;  497.67293;    4.31505;  68987912192;   2147483648;         4;         8;      128;  268435456
         double;17427.18512;  362.12333;    5.93025; 103347650560;   2147483648;         4;         8;      192;  268435456
         double;17173.88029;  267.81880;    8.01842; 137707388928;   2147483648;         4;         8;      256;  268435456
         double;17846.01956;  139.28601;   15.41780; 275146342400;   2147483648;         4;         8;      512;  268435456
         double;  172.81801; 1382.54407;    1.55328;    268435456;   2147483648;         4;        16;        0;  268435456
         double;  518.08047; 1381.54792;    1.55440;    805306368;   2147483648;         4;        16;        1;  268435456
         double;  864.44684; 1383.11494;    1.55264;   1342177280;   2147483648;         4;        16;        2;  268435456
         double; 1208.60640; 1381.26445;    1.55472;   1879048192;   2147483648;         4;        16;        3;  268435456
         double; 1556.00323; 1383.11398;    1.55264;   2415919104;   2147483648;         4;        16;        4;  268435456
         double; 1895.33633; 1378.42642;    1.55792;   2952790016;   2147483648;         4;        16;        5;  268435456
         double; 2242.70685; 1380.12729;    1.55600;   3489660928;   2147483648;         4;        16;        6;  268435456
         double; 2587.20667; 1379.84356;    1.55632;   4026531840;   2147483648;         4;        16;        7;  268435456
         double; 2930.66108; 1379.13462;    1.55712;   4563402752;   2147483648;         4;        16;        8;  268435456
         double; 3271.41098; 1377.43620;    1.55904;   5100273664;   2147483648;         4;        16;        9;  268435456
         double; 3619.48466; 1378.85130;    1.55744;   5637144576;   2147483648;         4;        16;       10;  268435456
         double; 3958.09800; 1376.72974;    1.55984;   6174015488;   2147483648;         4;        16;       11;  268435456
         double; 4311.57055; 1379.70258;    1.55648;   6710886400;   2147483648;         4;        16;       12;  268435456
         double; 4658.41176; 1380.27015;    1.55584;   7247757312;   2147483648;         4;        16;       13;  268435456
         double; 5003.47623; 1380.26931;    1.55584;   7784628224;   2147483648;         4;        16;       14;  268435456
         double; 5331.54649; 1375.88296;    1.56080;   8321499136;   2147483648;         4;        16;       15;  268435456
         double; 5679.59268; 1376.87095;    1.55968;   8858370048;   2147483648;         4;        16;       16;  268435456
         double; 8431.60491; 1376.58856;    1.56000;  13153337344;   2147483648;         4;        16;       24;  268435456
         double;11136.80857; 1370.68413;    1.56672;  17448304640;   2147483648;         4;        16;       32;  268435456
         double;13837.19578; 1366.63662;    1.57136;  21743271936;   2147483648;         4;        16;       40;  268435456
         double;16468.18345; 1358.20070;    1.58112;  26038239232;   2147483648;         4;        16;       48;  268435456
         double;17826.23300; 1262.03419;    1.70160;  30333206528;   2147483648;         4;        16;       56;  268435456
         double;18660.62911; 1157.24832;    1.85568;  34628173824;   2147483648;         4;        16;       64;  268435456
         double;13353.15517;  415.66242;    5.16641;  68987912192;   2147483648;         4;        16;      128;  268435456
         double;15237.58467;  316.62514;    6.78242; 103347650560;   2147483648;         4;        16;      192;  268435456
         double;14852.92518;  231.62456;    9.27140; 137707388928;   2147483648;         4;        16;      256;  268435456
         double;15720.68799;  122.69805;   17.50218; 275146342400;   2147483648;         4;        16;      512;  268435456
    Ac<3, d, d>;  172.80021; 1382.40169;    1.55344;    268435456;   2147483648;         4;         8;        0;  268435456
    Ac<3, d, d>;  518.45403; 1382.54407;    1.55328;    805306368;   2147483648;         4;         8;        1;  268435456
    Ac<3, d, d>;  864.09004; 1382.54407;    1.55328;   1342177280;   2147483648;         4;         8;        2;  268435456
    Ac<3, d, d>; 1210.22474; 1383.11398;    1.55264;   1879048192;   2147483648;         4;         8;        3;  268435456
    Ac<3, d, d>; 1557.12644; 1384.11239;    1.55152;   2415919104;   2147483648;         4;         8;        4;  268435456
    Ac<3, d, d>; 1902.95963; 1383.97064;    1.55168;   2952790016;   2147483648;         4;         8;        5;  268435456
    Ac<3, d, d>; 2247.56022; 1383.11398;    1.55264;   3489660928;   2147483648;         4;         8;        6;  268435456
    Ac<3, d, d>; 2591.20261; 1381.97473;    1.55392;   4026531840;   2147483648;         4;         8;        7;  268435456
    Ac<3, d, d>; 2938.20899; 1382.68658;    1.55312;   4563402752;   2147483648;         4;         8;        8;  268435456
    Ac<3, d, d>; 3284.21892; 1382.82902;    1.55296;   5100273664;   2147483648;         4;         8;        9;  268435456
    Ac<3, d, d>; 3628.43077; 1382.25934;    1.55360;   5637144576;   2147483648;         4;         8;       10;  268435456
    Ac<3, d, d>; 3975.22637; 1382.68743;    1.55312;   6174015488;   2147483648;         4;         8;       11;  268435456
    Ac<3, d, d>; 4318.22646; 1381.83247;    1.55408;   6710886400;   2147483648;         4;         8;       12;  268435456
    Ac<3, d, d>; 4664.64494; 1382.11702;    1.55376;   7247757312;   2147483648;         4;         8;       13;  268435456
    Ac<3, d, d>; 5009.65839; 1381.97473;    1.55392;   7784628224;   2147483648;         4;         8;       14;  268435456
    Ac<3, d, d>; 5354.60081; 1381.83247;    1.55408;   8321499136;   2147483648;         4;         8;       15;  268435456
    Ac<3, d, d>; 5701.81977; 1382.25934;    1.55360;   8858370048;   2147483648;         4;         8;       16;  268435456
    Ac<3, d, d>; 8452.41062; 1379.98541;    1.55616;  13153337344;   2147483648;         4;         8;       24;  268435456
    Ac<3, d, d>;11204.31769; 1378.99295;    1.55728;  17448304640;   2147483648;         4;         8;       32;  268435456
    Ac<3, d, d>;13950.83722; 1377.86047;    1.55856;  21743271936;   2147483648;         4;         8;       40;  268435456
    Ac<3, d, d>;16643.34006; 1372.64660;    1.56448;  26038239232;   2147483648;         4;         8;       48;  268435456
    Ac<3, d, d>;18072.63782; 1279.47878;    1.67841;  30333206528;   2147483648;         4;         8;       56;  268435456
    Ac<3, d, d>;18570.92033; 1151.68498;    1.86465;  34628173824;   2147483648;         4;         8;       64;  268435456
    Ac<3, d, d>;16026.36675;  498.87523;    4.30465;  68987912192;   2147483648;         4;         8;      128;  268435456
    Ac<3, d, d>;17470.54736;  363.02436;    5.91554; 103347650560;   2147483648;         4;         8;      192;  268435456
    Ac<3, d, d>;17208.90630;  268.36501;    8.00210; 137707388928;   2147483648;         4;         8;      256;  268435456
    Ac<3, d, d>;17879.78678;  139.54956;   15.38868; 275146342400;   2147483648;         4;         8;      512;  268435456
    Ac<3, d, d>;  172.97838; 1383.82701;    1.55184;    268435456;   2147483648;         4;        16;        0;  268435456
    Ac<3, d, d>;  518.56088; 1382.82902;    1.55296;    805306368;   2147483648;         4;        16;        1;  268435456
    Ac<3, d, d>;  864.71858; 1383.54972;    1.55216;   1342177280;   2147483648;         4;        16;        2;  268435456
    Ac<3, d, d>; 1211.09834; 1384.11239;    1.55152;   1879048192;   2147483648;         4;        16;        3;  268435456
    Ac<3, d, d>; 1556.32395; 1383.39906;    1.55232;   2415919104;   2147483648;         4;        16;        4;  268435456
    Ac<3, d, d>; 1899.04205; 1381.12149;    1.55488;   2952790016;   2147483648;         4;        16;        5;  268435456
    Ac<3, d, d>; 2245.47776; 1381.83247;    1.55408;   3489660928;   2147483648;         4;        16;        6;  268435456
    Ac<3, d, d>; 2588.80353; 1380.69521;    1.55536;   4026531840;   2147483648;         4;        16;        7;  268435456
    Ac<3, d, d>; 2937.60359; 1382.40169;    1.55344;   4563402752;   2147483648;         4;        16;        8;  268435456
    Ac<3, d, d>; 3282.18998; 1381.97473;    1.55392;   5100273664;   2147483648;         4;        16;        9;  268435456
    Ac<3, d, d>; 3621.34484; 1379.55994;    1.55664;   5637144576;   2147483648;         4;        16;       10;  268435456
    Ac<3, d, d>; 3968.68233; 1380.41125;    1.55568;   6174015488;   2147483648;         4;        16;       11;  268435456
    Ac<3, d, d>; 4313.34158; 1380.26931;    1.55584;   6710886400;   2147483648;         4;        16;       12;  268435456
    Ac<3, d, d>; 4657.92960; 1380.12729;    1.55600;   7247757312;   2147483648;         4;        16;       13;  268435456
    Ac<3, d, d>; 5005.53500; 1380.83724;    1.55520;   7784628224;   2147483648;         4;        16;       14;  268435456
    Ac<3, d, d>; 5343.59767; 1378.99295;    1.55728;   8321499136;   2147483648;         4;        16;       15;  268435456
    Ac<3, d, d>; 5695.36776; 1380.69521;    1.55536;   8858370048;   2147483648;         4;        16;       16;  268435456
    Ac<3, d, d>; 8430.74033; 1376.44740;    1.56016;  13153337344;   2147483648;         4;        16;       24;  268435456
    Ac<3, d, d>;11143.63671; 1371.52452;    1.56576;  17448304640;   2147483648;         4;        16;       32;  268435456
    Ac<3, d, d>;13844.24417; 1367.33276;    1.57056;  21743271936;   2147483648;         4;        16;       40;  268435456
    Ac<3, d, d>;16513.30066; 1361.92170;    1.57680;  26038239232;   2147483648;         4;        16;       48;  268435456
    Ac<3, d, d>;17890.15534; 1266.55967;    1.69553;  30333206528;   2147483648;         4;        16;       56;  268435456
    Ac<3, d, d>;18190.07572; 1128.06671;    1.90368;  34628173824;   2147483648;         4;        16;       64;  268435456
    Ac<3, d, d>;13086.87616;  407.37358;    5.27153;  68987912192;   2147483648;         4;        16;      128;  268435456
    Ac<3, d, d>;15302.19839;  317.96776;    6.75378; 103347650560;   2147483648;         4;        16;      192;  268435456
    Ac<3, d, d>;14852.17965;  231.61294;    9.27186; 137707388928;   2147483648;         4;        16;      256;  268435456
    Ac<3, d, d>;15770.47501;  123.08663;   17.44693; 275146342400;   2147483648;         4;        16;      512;  268435456
    Ac<3, d, f>;  344.85454; 1379.41817;    0.77840;    268435456;   1073741824;         4;         8;        0;  268435456
    Ac<3, d, f>; 1034.35097; 1379.13462;    0.77856;    805306368;   1073741824;         4;         8;        1;  268435456
    Ac<3, d, f>; 1723.56188; 1378.84950;    0.77872;   1342177280;   1073741824;         4;         8;        2;  268435456
