      Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
         double;  222.72218; 1781.77740;    1.20525;    268435456;   2147483648;         4;         8;        0;  268435456
         double;  700.29560; 1867.45494;    1.14995;    805306368;   2147483648;         4;         8;        1;  268435456
         double; 1165.08449; 1864.13519;    1.15200;   1342177280;   2147483648;         4;         8;        2;  268435456
         double; 1632.56948; 1865.79369;    1.15098;   1879048192;   2147483648;         4;         8;        3;  268435456
         double; 2108.39674; 1874.13044;    1.14586;   2415919104;   2147483648;         4;         8;        4;  268435456
         double; 2558.63716; 1860.82703;    1.15405;   2952790016;   2147483648;         4;         8;        5;  268435456
         double; 3037.31895; 1869.11935;    1.14893;   3489660928;   2147483648;         4;         8;        6;  268435456
         double; 3507.72513; 1870.78673;    1.14790;   4026531840;   2147483648;         4;         8;        7;  268435456
         double; 3975.42181; 1870.78673;    1.14790;   4563402752;   2147483648;         4;         8;        8;  268435456
         double; 4451.05979; 1874.13044;    1.14586;   5100273664;   2147483648;         4;         8;        9;  268435456
         double; 4897.70843; 1865.79369;    1.15098;   5637144576;   2147483648;         4;         8;       10;  268435456
         double; 5373.71814; 1869.11935;    1.14893;   6174015488;   2147483648;         4;         8;       11;  268435456
         double; 5835.79670; 1867.45494;    1.14995;   6710886400;   2147483648;         4;         8;       12;  268435456
         double; 6297.05369; 1865.79369;    1.15098;   7247757312;   2147483648;         4;         8;       13;  268435456
         double; 6793.72283; 1874.13044;    1.14586;   7784628224;   2147483648;         4;         8;       14;  268435456
         double; 7223.52387; 1864.13519;    1.15200;   8321499136;   2147483648;         4;         8;       15;  268435456
         double; 7696.39896; 1865.79369;    1.15098;   8858370048;   2147483648;         4;         8;       16;  268435456
         double; 9486.74777; 1548.85678;    1.38650;  13153337344;   2147483648;         4;         8;       24;  268435456
         double; 9643.10157; 1186.84327;    1.80941;  17448304640;   2147483648;         4;         8;       32;  268435456
         double; 9577.65679;  945.94141;    2.27021;  21743271936;   2147483648;         4;         8;       40;  268435456
         double; 9595.45990;  791.37814;    2.71360;  26038239232;   2147483648;         4;         8;       48;  268435456
         double; 9620.74462;  681.11466;    3.15290;  30333206528;   2147483648;         4;         8;       56;  268435456
         double; 9634.35227;  597.47921;    3.59424;  34628173824;   2147483648;         4;         8;       64;  268435456
         double; 9671.40517;  301.05541;    7.13318;  68987912192;   2147483648;         4;         8;      128;  268435456
         double; 9685.74263;  201.26218;   10.67008; 103347650560;   2147483648;         4;         8;      192;  268435456
         double; 9692.94166;  151.15698;   14.20698; 137707388928;   2147483648;         4;         8;      256;  268435456
         double; 9709.03736;   75.77785;   28.33920; 275146342400;   2147483648;         4;         8;      512;  268435456
         double;  233.01690; 1864.13519;    1.15200;    268435456;   2147483648;         4;        16;        0;  268435456
         double;  699.67263; 1865.79369;    1.15098;    805306368;   2147483648;         4;        16;        1;  268435456
         double; 1165.08449; 1864.13519;    1.15200;   1342177280;   2147483648;         4;        16;        2;  268435456
         double; 1628.22365; 1860.82703;    1.15405;   1879048192;   2147483648;         4;        16;        3;  268435456
         double; 2100.88681; 1867.45494;    1.14995;   2415919104;   2147483648;         4;        16;        4;  268435456
         double; 2563.18589; 1864.13519;    1.15200;   2952790016;   2147483648;         4;        16;        5;  268435456
         double; 3037.31895; 1869.11935;    1.14893;   3489660928;   2147483648;         4;        16;        6;  268435456
         double; 3504.59879; 1869.11935;    1.14893;   4026531840;   2147483648;         4;        16;        7;  268435456
         double; 3950.75186; 1859.17735;    1.15507;   4563402752;   2147483648;         4;        16;        8;  268435456
         double; 4423.38915; 1862.47964;    1.15302;   5100273664;   2147483648;         4;        16;        9;  268435456
         double; 4884.67095; 1860.82703;    1.15405;   5637144576;   2147483648;         4;        16;       10;  268435456
         double; 5345.13487; 1859.17735;    1.15507;   6174015488;   2147483648;         4;        16;       11;  268435456
