      Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
         double;  228.54751; 1828.38012;    1.17453;    268435456;   2147483648;         1;         2;        0;  268435456
         double;  694.72791; 1852.60777;    1.15917;    805306368;   2147483648;         1;         2;        1;  268435456
         double; 1154.81936; 1847.71097;    1.16224;   1342177280;   2147483648;         1;         2;        2;  268435456
         double; 1618.17281; 1849.34036;    1.16122;   1879048192;   2147483648;         1;         2;        3;  268435456
         double; 2086.02653; 1854.24580;    1.15814;   2415919104;   2147483648;         1;         2;        4;  268435456
         double; 2542.84299; 1849.34036;    1.16122;   2952790016;   2147483648;         1;         2;        5;  268435456
         double; 3013.14943; 1854.24580;    1.15814;   3489660928;   2147483648;         1;         2;        6;  268435456
         double; 3485.95753; 1859.17735;    1.15507;   4026531840;   2147483648;         1;         2;        7;  268435456
         double; 3954.25744; 1860.82703;    1.15405;   4563402752;   2147483648;         1;         2;        8;  268435456
         double; 4415.54620; 1859.17735;    1.15507;   5100273664;   2147483648;         1;         2;        9;  268435456
         double; 4871.70270; 1855.88674;    1.15712;   5637144576;   2147483648;         1;         2;       10;  268435456
         double; 5321.54628; 1850.97262;    1.16019;   6174015488;   2147483648;         1;         2;       11;  268435456
         double; 5753.81885; 1841.22203;    1.16634;   6710886400;   2147483648;         1;         2;       12;  268435456
         double; 6219.58496; 1842.83999;    1.16531;   7247757312;   2147483648;         1;         2;       13;  268435456
         double; 6616.34106; 1825.19753;    1.17658;   7784628224;   2147483648;         1;         2;       14;  268435456
         double; 7017.67203; 1811.01214;    1.18579;   8321499136;   2147483648;         1;         2;       15;  268435456
         double; 7463.97944; 1809.44956;    1.18682;   8858370048;   2147483648;         1;         2;       16;  268435456
         double; 9247.70062; 1509.82867;    1.42234;  13153337344;   2147483648;         1;         2;       24;  268435456
         double; 9357.14436; 1151.64854;    1.86470;  17448304640;   2147483648;         1;         2;       32;  268435456
         double; 9432.99193;  931.65352;    2.30502;  21743271936;   2147483648;         1;         2;       40;  268435456
         double; 9477.43890;  781.64445;    2.74739;  26038239232;   2147483648;         1;         2;       48;  268435456
         double; 9515.66734;  673.67556;    3.18771;  30333206528;   2147483648;         1;         2;       56;  268435456
         double; 9539.23163;  591.58026;    3.63008;  34628173824;   2147483648;         1;         2;       64;  268435456
         double; 9634.06387;  299.89304;    7.16083;  68987912192;   2147483648;         1;         2;      128;  268435456
         double; 9666.26218;  200.85740;   10.69158; 103347650560;   2147483648;         1;         2;      192;  268435456
         double; 9680.38265;  150.96113;   14.22541; 137707388928;   2147483648;         1;         2;      256;  268435456
         double; 9703.42738;   75.73407;   28.35558; 275146342400;   2147483648;         1;         2;      512;  268435456
         double;  238.96445; 1911.71564;    1.12333;    268435456;   2147483648;         1;         4;        0;  268435456
         double;  716.89336; 1911.71564;    1.12333;    805306368;   2147483648;         1;         4;        1;  268435456
         double; 1195.91245; 1913.45992;    1.12230;   1342177280;   2147483648;         1;         4;        2;  268435456
         double; 1671.22772; 1909.97454;    1.12435;   1879048192;   2147483648;         1;         4;        3;  268435456
         double; 2150.68009; 1911.71564;    1.12333;   2415919104;   2147483648;         1;         4;        4;  268435456
         double; 2626.21499; 1909.97454;    1.12435;   2952790016;   2147483648;         1;         4;        5;  268435456
