      Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
         double;  248.47772; 1987.82180;    1.08032;    268435456;   2147483648;         4;         8;        0;  268435456
         double;  745.63196; 1988.35189;    1.08003;    805306368;   2147483648;         4;         8;        1;  268435456
         double; 1241.98392; 1987.17427;    1.08067;   1342177280;   2147483648;         4;         8;        2;  268435456
         double; 1739.49859; 1987.99839;    1.08022;   1879048192;   2147483648;         4;         8;        3;  268435456
         double; 2235.04172; 1986.70375;    1.08093;   2415919104;   2147483648;         4;         8;        4;  268435456
         double; 2732.36463; 1987.17427;    1.08067;   2952790016;   2147483648;         4;         8;        5;  268435456
         double; 3229.15820; 1987.17427;    1.08067;   3489660928;   2147483648;         4;         8;        6;  268435456
         double; 3726.06233; 1987.23324;    1.08064;   4026531840;   2147483648;         4;         8;        7;  268435456
         double; 4223.74613; 1987.64524;    1.08042;   4563402752;   2147483648;         4;         8;        8;  268435456
         double; 4717.86260; 1986.46846;    1.08106;   5100273664;   2147483648;         4;         8;        9;  268435456
         double; 5218.03222; 1987.82180;    1.08032;   5637144576;   2147483648;         4;         8;       10;  268435456
         double; 5710.58991; 1986.29214;    1.08115;   6174015488;   2147483648;         4;         8;       11;  268435456
         double; 6206.79544; 1986.17454;    1.08122;   6710886400;   2147483648;         4;         8;       12;  268435456
         double; 6707.30952; 1987.35097;    1.08058;   7247757312;   2147483648;         4;         8;       13;  268435456
         double; 7202.44052; 1986.88014;    1.08083;   7784628224;   2147483648;         4;         8;       14;  268435456
         double; 7703.03727; 1987.88059;    1.08029;   8321499136;   2147483648;         4;         8;       15;  268435456
         double; 8197.09388; 1987.17427;    1.08067;   8858370048;   2147483648;         4;         8;       16;  268435456
         double;12156.68330; 1984.76462;    1.08198;  13153337344;   2147483648;         4;         8;       24;  268435456
         double;16102.87701; 1981.89256;    1.08355;  17448304640;   2147483648;         4;         8;       32;  268435456
         double;19984.03704; 1973.73205;    1.08803;  21743271936;   2147483648;         4;         8;       40;  268435456
