      Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
         double;  249.70553; 1997.64428;    1.07501;    268435456;   2147483648;         1;         2;        0;  268435456
         double;  749.11660; 1997.64428;    1.07501;    805306368;   2147483648;         1;         2;        1;  268435456
         double; 1248.37913; 1997.40661;    1.07514;   1342177280;   2147483648;         1;         2;        2;  268435456
         double; 1748.25106; 1998.00121;    1.07482;   1879048192;   2147483648;         1;         2;        3;  268435456
         double; 2248.01915; 1998.23924;    1.07469;   2415919104;   2147483648;         1;         2;        4;  268435456
         double; 2747.41530; 1998.12022;    1.07475;   2952790016;   2147483648;         1;         2;        5;  268435456
         double; 3246.07548; 1997.58491;    1.07504;   3489660928;   2147483648;         1;         2;        6;  268435456
         double; 3744.02277; 1996.81214;    1.07546;   4026531840;   2147483648;         1;         2;        7;  268435456
         double; 4243.60494; 1996.99056;    1.07536;   4563402752;   2147483648;         1;         2;        8;  268435456
         double; 4746.66590; 1998.59617;    1.07450;   5100273664;   2147483648;         1;         2;        9;  268435456
         double; 5242.56805; 1997.16878;    1.07526;   5637144576;   2147483648;         1;         2;       10;  268435456
         double; 5741.68902; 1997.10922;    1.07530;   6174015488;   2147483648;         1;         2;       11;  268435456
         double; 6245.24095; 1998.47710;    1.07456;   6710886400;   2147483648;         1;         2;       12;  268435456
         double; 6743.65574; 1998.12022;    1.07475;   7247757312;   2147483648;         1;         2;       13;  268435456
         double; 7241.24530; 1997.58491;    1.07504;   7784628224;   2147483648;         1;         2;       14;  268435456
         double; 7739.95062; 1997.40661;    1.07514;   8321499136;   2147483648;         1;         2;       15;  268435456
         double; 8240.28264; 1997.64428;    1.07501;   8858370048;   2147483648;         1;         2;       16;  268435456
         double;12237.39232; 1997.94160;    1.07485;  13153337344;   2147483648;         1;         2;       24;  268435456
         double;16236.66099; 1998.35828;    1.07462;  17448304640;   2147483648;         1;         2;       32;  268435456
         double;20231.56862; 1998.17962;    1.07472;  21743271936;   2147483648;         1;         2;       40;  268435456
         double;22764.51910; 1877.48611;    1.14381;  26038239232;   2147483648;         1;         2;       48;  268435456
         double;22948.54741; 1624.67592;    1.32179;  30333206528;   2147483648;         1;         2;       56;  268435456
         double;23708.05424; 1470.26693;    1.46061;  34628173824;   2147483648;         1;         2;       64;  268435456
         double;24834.66242;  773.06342;    2.77789;  68987912192;   2147483648;         1;         2;      128;  268435456
         double;24890.86141;  517.21270;    4.15203; 103347650560;   2147483648;         1;         2;      192;  268435456
         double;24985.22966;  389.63321;    5.51155; 137707388928;   2147483648;         1;         2;      256;  268435456
         double;25358.47377;  197.91980;   10.85027; 275146342400;   2147483648;         1;         2;      512;  268435456
