      Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
         double;  249.67583; 1997.40661;    1.07514;    268435456;   2147483648;         1;         2;        0;  268435456
         double;  748.96055; 1997.22812;    1.07523;    805306368;   2147483648;         1;         2;        1;  268435456
         double; 1248.78788; 1998.06060;    1.07478;   1342177280;   2147483648;         1;         2;        2;  268435456
         double; 1747.93874; 1997.64428;    1.07501;   1879048192;   2147483648;         1;         2;        3;  268435456
         double; 2248.08598; 1998.29865;    1.07466;   2415919104;   2147483648;         1;         2;        4;  268435456
         double; 2746.92446; 1997.76324;    1.07494;   2952790016;   2147483648;         1;         2;        5;  268435456
         double; 3246.75197; 1998.00121;    1.07482;   3489660928;   2147483648;         1;         2;        6;  268435456
         double; 3745.80608; 1997.76324;    1.07494;   4026531840;   2147483648;         1;         2;        7;  268435456
         double; 4245.49972; 1997.88222;    1.07488;   4563402752;   2147483648;         1;         2;        8;  268435456
         double; 4744.54669; 1997.70387;    1.07498;   5100273664;   2147483648;         1;         2;        9;  268435456
         double; 5245.69047; 1998.35828;    1.07462;   5637144576;   2147483648;         1;         2;       10;  268435456
         double; 5745.10860; 1998.29865;    1.07466;   6174015488;   2147483648;         1;         2;       11;  268435456
         double; 6242.08115; 1997.46597;    1.07510;   6710886400;   2147483648;         1;         2;       12;  268435456
         double; 6743.25409; 1998.00121;    1.07482;   7247757312;   2147483648;         1;         2;       13;  268435456
         double; 7241.24530; 1997.58491;    1.07504;   7784628224;   2147483648;         1;         2;       14;  268435456
         double; 7743.40725; 1998.29865;    1.07466;   8321499136;   2147483648;         1;         2;       15;  268435456
         double; 8240.03776; 1997.58491;    1.07504;   8858370048;   2147483648;         1;         2;       16;  268435456
         double;12235.93619; 1997.70387;    1.07498;  13153337344;   2147483648;         1;         2;       24;  268435456
         double;16230.37740; 1997.58491;    1.07504;  17448304640;   2147483648;         1;         2;       32;  268435456
         double;20227.35282; 1997.76324;    1.07494;  21743271936;   2147483648;         1;         2;       40;  268435456
         double;22321.14406; 1840.91910;    1.16653;  26038239232;   2147483648;         1;         2;       48;  268435456
         double;23327.49311; 1651.50394;    1.30032;  30333206528;   2147483648;         1;         2;       56;  268435456
         double;23494.95098; 1457.05122;    1.47386;  34628173824;   2147483648;         1;         2;       64;  268435456
         double;25050.80403;  779.79157;    2.75392;  68987912192;   2147483648;         1;         2;      128;  268435456
         double;24875.14062;  516.88604;    4.15466; 103347650560;   2147483648;         1;         2;      192;  268435456
         double;24975.36792;  389.47942;    5.51373; 137707388928;   2147483648;         1;         2;      256;  268435456
         double;25349.80201;  197.85211;   10.85398; 275146342400;   2147483648;         1;         2;      512;  268435456
         double;  249.42341; 1995.38731;    1.07622;    268435456;   2147483648;         1;         4;        0;  268435456
         double;  748.62639; 1996.33705;    1.07571;    805306368;   2147483648;         1;         4;        1;  268435456
         double; 1247.19125; 1995.50600;    1.07616;   1342177280;   2147483648;         1;         4;        2;  268435456
         double; 1745.80803; 1995.20918;    1.07632;   1879048192;   2147483648;         1;         4;        3;  268435456
         double; 2244.41022; 1995.03130;    1.07642;   2415919104;   2147483648;         1;         4;        4;  268435456
         double; 2743.65755; 1995.38731;    1.07622;   2952790016;   2147483648;         1;         4;        5;  268435456
         double; 3242.98644; 1995.68396;    1.07606;   3489660928;   2147483648;         1;         4;        6;  268435456
         double; 3740.79514; 1995.09074;    1.07638;   4026531840;   2147483648;         1;         4;        7;  268435456
         double; 4239.56782; 1995.09074;    1.07638;   4563402752;   2147483648;         1;         4;        8;  268435456
         double; 4737.63585; 1994.79404;    1.07654;   5100273664;   2147483648;         1;         4;        9;  268435456
         double; 5236.64575; 1994.91267;    1.07648;   5637144576;   2147483648;         1;         4;       10;  268435456
         double; 5736.05613; 1995.14996;    1.07635;   6174015488;   2147483648;         1;         4;       11;  268435456
         double; 6239.66654; 1996.69329;    1.07552;   6710886400;   2147483648;         1;         4;       12;  268435456
         double; 6731.22984; 1994.43847;    1.07674;   7247757312;   2147483648;         1;         4;       13;  268435456
         double; 7236.50607; 1996.27754;    1.07574;   7784628224;   2147483648;         1;         4;       14;  268435456
         double; 7732.12581; 1995.38731;    1.07622;   8321499136;   2147483648;         1;         4;       15;  268435456
         double; 8223.88106; 1993.66814;    1.07715;   8858370048;   2147483648;         1;         4;       16;  268435456
         double;12215.93563; 1994.43847;    1.07674;  13153337344;   2147483648;         1;         4;       24;  268435456
         double;16200.47921; 1993.90513;    1.07702;  17448304640;   2147483648;         1;         4;       32;  268435456
         double;20208.70456; 1995.92144;    1.07594;  21743271936;   2147483648;         1;         4;       40;  268435456
         double;23449.42375; 1933.97309;    1.11040;  26038239232;   2147483648;         1;         4;       48;  268435456
         double;22724.08954; 1608.78510;    1.33485;  30333206528;   2147483648;         1;         4;       56;  268435456
         double;23454.21210; 1454.52478;    1.47642;  34628173824;   2147483648;         1;         4;       64;  268435456
         double;24819.79564;  772.60064;    2.77955;  68987912192;   2147483648;         1;         4;      128;  268435456
         double;25013.46916;  519.76040;    4.13168; 103347650560;   2147483648;         1;         4;      192;  268435456
         double;25090.25935;  391.27110;    5.48848; 137707388928;   2147483648;         1;         4;      256;  268435456
         double;25433.55834;  198.50582;   10.81824; 275146342400;   2147483648;         1;         4;      512;  268435456
         double;  249.44566; 1995.56525;    1.07613;    268435456;   2147483648;         1;         8;        0;  268435456
         double;  748.13674; 1995.03130;    1.07642;    805306368;   2147483648;         1;         8;        1;  268435456
         double; 1246.67228; 1994.67565;    1.07661;   1342177280;   2147483648;         1;         8;        2;  268435456
         double; 1746.48312; 1995.98071;    1.07590;   1879048192;   2147483648;         1;         8;        3;  268435456
         double; 2245.54522; 1996.04020;    1.07587;   2415919104;   2147483648;         1;         8;        4;  268435456
         double; 2744.96344; 1996.33705;    1.07571;   2952790016;   2147483648;         1;         8;        5;  268435456
         double; 3242.98644; 1995.68396;    1.07606;   3489660928;   2147483648;         1;         8;        6;  268435456
         double; 3740.57268; 1994.97209;    1.07645;   4026531840;   2147483648;         1;         8;        7;  268435456
         double; 4239.06361; 1994.85346;    1.07651;   4563402752;   2147483648;         1;         8;        8;  268435456
         double; 4735.80617; 1994.02365;    1.07696;   5100273664;   2147483648;         1;         8;        9;  268435456
         double; 5235.08974; 1994.31990;    1.07680;   5637144576;   2147483648;         1;         8;       10;  268435456
         double; 5732.47726; 1993.90513;    1.07702;   6174015488;   2147483648;         1;         8;       11;  268435456
         double; 6232.99079; 1994.55705;    1.07667;   6710886400;   2147483648;         1;         8;       12;  268435456
         double; 6728.62996; 1993.66814;    1.07715;   7247757312;   2147483648;         1;         8;       13;  268435456
         double; 7233.70926; 1995.50600;    1.07616;   7784628224;   2147483648;         1;         8;       14;  268435456
         double; 7727.98962; 1994.31990;    1.07680;   8321499136;   2147483648;         1;         8;       15;  268435456
         double; 8228.03706; 1994.67565;    1.07661;   8858370048;   2147483648;         1;         8;       16;  268435456
         double;12209.76608; 1993.43120;    1.07728;  13153337344;   2147483648;         1;         8;       24;  268435456
         double;16184.60940; 1991.95193;    1.07808;  17448304640;   2147483648;         1;         8;       32;  268435456
         double;20105.25575; 1985.70427;    1.08147;  21743271936;   2147483648;         1;         8;       40;  268435456
