      Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
         double;  193.55265; 1548.42117;    1.38689;    268435456;   2147483648;         1;         2;        0;  268435456
         double;  579.52097; 1545.38925;    1.38961;    805306368;   2147483648;         1;         2;        1;  268435456
         double;  967.53927; 1548.06283;    1.38721;   1342177280;   2147483648;         1;         2;        2;  268435456
         double; 1358.78650; 1552.89886;    1.38289;   1879048192;   2147483648;         1;         2;        3;  268435456
         double; 1743.78310; 1550.02942;    1.38545;   2415919104;   2147483648;         1;         2;        4;  268435456
         double; 2128.09555; 1547.70586;    1.38753;   2952790016;   2147483648;         1;         2;        5;  268435456
         double; 2518.50873; 1549.85152;    1.38561;   3489660928;   2147483648;         1;         2;        6;  268435456
         double; 2904.62791; 1549.13489;    1.38625;   4026531840;   2147483648;         1;         2;        7;  268435456
         double; 3282.81807; 1544.85556;    1.39009;   4563402752;   2147483648;         1;         2;        8;  268435456
         double; 3666.49988; 1543.78942;    1.39105;   5100273664;   2147483648;         1;         2;        9;  268435456
         double; 4059.45399; 1546.45866;    1.38865;   5637144576;   2147483648;         1;         2;       10;  268435456
         double; 4444.01733; 1545.74516;    1.38929;   6174015488;   2147483648;         1;         2;       11;  268435456
         double; 4837.13852; 1547.88433;    1.38737;   6710886400;   2147483648;         1;         2;       12;  268435456
         double; 5219.29441; 1546.45760;    1.38865;   7247757312;   2147483648;         1;         2;       13;  268435456
         double; 5598.16861; 1544.32238;    1.39057;   7784628224;   2147483648;         1;         2;       14;  268435456
         double; 6004.97255; 1549.67034;    1.38577;   8321499136;   2147483648;         1;         2;       15;  268435456
         double; 6386.49571; 1548.24138;    1.38705;   8858370048;   2147483648;         1;         2;       16;  268435456
         double; 9405.94370; 1535.66428;    1.39841;  13153337344;   2147483648;         1;         2;       24;  268435456
         double;12400.64646; 1526.23341;    1.40705;  17448304640;   2147483648;         1;         2;       32;  268435456
         double;14635.94179; 1445.52511;    1.48561;  21743271936;   2147483648;         1;         2;       40;  268435456
         double;16074.49528; 1325.73157;    1.61985;  26038239232;   2147483648;         1;         2;       48;  268435456
         double;17096.36429; 1210.36207;    1.77425;  30333206528;   2147483648;         1;         2;       56;  268435456
