      Precision;    [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its; # Elements
         double;  483.10341; 3864.82726;    0.55565;    268435456;   2147483648;         1;         2;        0;  268435456
         double; 1447.14344; 3859.04917;    0.55648;    805306368;   2147483648;         1;         2;        1;  268435456
         double; 2412.32173; 3859.71477;    0.55638;   1342177280;   2147483648;         1;         2;        2;  268435456
         double; 3376.86226; 3859.27115;    0.55645;   1879048192;   2147483648;         1;         2;        3;  268435456
         double; 4342.92864; 3860.38101;    0.55629;   2415919104;   2147483648;         1;         2;        4;  268435456
         double; 5312.60791; 3863.71484;    0.55581;   2952790016;   2147483648;         1;         2;        5;  268435456
         double; 6276.36864; 3862.38070;    0.55600;   3489660928;   2147483648;         1;         2;        6;  268435456
         double; 7231.55852; 3856.83121;    0.55680;   4026531840;   2147483648;         1;         2;        7;  268435456
         double; 8198.59322; 3858.16152;    0.55661;   4563402752;   2147483648;         1;         2;        8;  268435456
         double; 9171.04234; 3861.49151;    0.55613;   5100273664;   2147483648;         1;         2;        9;  268435456
         double;10145.17155; 3864.82726;    0.55565;   5637144576;   2147483648;         1;         2;       10;  268435456
         double;11110.09958; 3864.38246;    0.55571;   6174015488;   2147483648;         1;         2;       11;  268435456
         double;12072.02457; 3863.04786;    0.55590;   6710886400;   2147483648;         1;         2;       12;  268435456
         double;13060.34048; 3869.73051;    0.55494;   7247757312;   2147483648;         1;         2;       13;  268435456
         double;13989.85793; 3859.27115;    0.55645;   7784628224;   2147483648;         1;         2;       14;  268435456
         double;14965.86367; 3862.15837;    0.55603;   8321499136;   2147483648;         1;         2;       15;  268435456
         double;15939.65957; 3864.15990;    0.55574;   8858370048;   2147483648;         1;         2;       16;  268435456
         double;23687.07366; 3867.27733;    0.55530;  13153337344;   2147483648;         1;         2;       24;  268435456
         double;28313.40332; 3484.72656;    0.61626;  17448304640;   2147483648;         1;         2;       32;  268435456
         double;29248.73043; 2888.76350;    0.74339;  21743271936;   2147483648;         1;         2;       40;  268435456
